0,1,2,3
Message from the Chairman and CEO,Our ambitions and achievements,"Management report
Sustainability statements",Financial statements
5.2.  Annex 2: List of references,,,
"ESRS	2	BP-1	5	a	,	ESRS	2	BP-1	5	b	i",74,"ESRS	E1-6	44,	46d	;	ESRS		E1-6	48	a,b,	49	a,b,",52
ESRS	2	BP-1	5	b	ii,75,"a,b,		51,	AR43c,	AR45e,	AR46j",105
"ESRS	2	BP-2	9	a	,	ESRS	2	BP-2	9	b",75,ESRS E1-6 AR 41,105
"ESRS	2	BP-2	10	a,	b,	c	&	d	,	ESRS	2	BP-2	11	a,	11	b	i	&	11	b	ii",76,ESRS	E1-6	AR39	b,105
ESRS 2 BP-2 16,76,ESRS 2 BP-2 10 c,105
ESRS 2 BP-2 17,77,ESRS E1-6 45d,105
"ESRS	2	BP-2	13	a,	b	&c	;	ESRS	2		BP-2	14	a,	b	&	c",77,ESRS	E1-6	AR39b,105
ESRS 2 BP-2 15,77,ESRS 2 BP-2 10 c,106
"ESRS 2 GOV-5 ; ESRS 2 IRO-1 53 d,e,f",78,"ESRS E1-6 AR 46 i, 46 h",106
ESRS 2 GOV-4,79,"ESRS E1-6, AR 46 i",106
"ESRS 2 SBM-1 40 a i,ii; ESRS 2 SBM-1 42",79,"ESRS 2 BP-2 10 c, E1-6, AR 46 g",106
ESRS 2 SBM-1 40 a iii,79,ESRS	E1-6	AR39	b,106
ESRS 2 SBM-2 45 d,80,"ESRS E1-6 47, 42c",106
"ESRS	2	SBM-1	42	a,	b",80,"ESRS E1-6 53, 55 & AR55",107
ESRS 2 SBM-1 42 c,80,ESRS E1-6 53,107
ESRS 2 SBM-1 42,80,ESRS E1-6 53,107
ESRS 2 BP-1 5c,80,ESRS E1-6 AR 55,107
ESRS 2 SBM-2 45 a i,81,ESRS E1-6 AR55,107
ESRS 2 SBM-2 45 a,81,ESRS E1-7,107
ESRS	2	SBM-2	45	b,81,ESRS E1-8,107
ESRS 2 SBM-2 45 a iv,81,"ESRS	E1-9	66a,b,c,d,	ESRS	E1-9	AR70ci,	ESRS	E1-9	AR69a,b",107
ESRS 2 SBM-2 45 a v,81,"Phase in requirements for ESRS E1-9 67, 68,69 & AR 72,73",108
ESRS 2 SBM-2 45 a,82,ESRS E1-9 67e,108
ESRS 2 SBM-2 45 a,82,ESRS 2 SBM-2,108
ESRS 2 SBM-2 45 a ii,83,ESRS S1-SBM-3,109
ESRS 2 SBM-2 45 a iii,83,"ESRS	S1-1	20	a,	b,	c,	ESRS	S1-1	21",109
ESRS 2 SBM-2 45 c ii,83,"ESRS S1-1 17,18,19, ESRS S1-1 23",110
ESRS 2 SBM-2 45 d,83,ESRS S1-1 22,110
ESRS 2 SBM-2 45 a v,84,"ESRS	S1-1	24	a,b,c,d",110
ESRS 2 SBM-3 48 a,85,"ESRS	S1-1	20b,	ESRS	S1-2	25,	26,	27",111
"ESRS	2	SBM-3	48	a	;b;	48c	I,	ii,	iii,	iv;	d;	f;	g;	h",87,"ESRS S1-3 31, 32",111
ESRS 2 SBM-3 48 e,87,ESRS S1-3 32,111
"ESRS	2	IRO-1	53	b,c,d,g",87,ESRS S1-3 32 e,111
ESRS 2 IRO-1 53 a,88,ESRS S1-3 33,111
ESRS 2 GOV-2,89,"ESRS S1-4 36, 37, 38, 39, 42",112
ESRS 2 GOV-1 & 3,89,ESRS S1-4 43,112
ESRS E1 GOV-3 13,97,ESRS S1-5 46,112
ESRS E1 SBM-3 18,97,ESRS S1-5 47,112
ESRS E1 SBM-3 19c,98,ESRS S1-5 47,112
"ESRS	E1	SBM-3	19	a,	b	,	ESRS	E1	SBM-3	AR7b",98,"ESRS S1-6 49,ESRS S1-6 50 dii",112
"ESRS	E1	SBM-3	19	c,	ESRS	E1	SBM-3	AR	8b",98,"ESRS	S1-6	50	a,b",113
"ESRS	E1.IRO-1	20	a,b,c,	AR	9	et	AR12a",98,ESRS S1-6 51,113
"Phase	in	requirements	for	ESRS		E1.IRO-1,		AR	11	a,	b,	c	&	d,	21,",,ESRS S1-6 50 di,113
"AR	12	a,	b,	c	&	d,	21	et	AR	15",98,ESRS S1-6 50 c,113
"ESRS E1-2 24, 25",98,ESRS S1-6 50 e,113
ESRS E1-2 24,99,ESRS S1-11,113
ESRS E1-1 16a,99,Phase	in	requirements	for	ESRS	S1-13	83	b,113
"ESRS E1-1, 16 h & i",99,"Phase in requirements for ESRS S1-13 83 a, 84, 85",113
"ESRS E1-4, 34 e & 16 a",99,ESRS S1-14 87,114
"ESRS E1-4, 34 e & 16 a,g",100,ESRS S1-14 88,114
ESRS E1-4 33,100,ESRS S1-17,114
ESRS	E1-4	34b,100,ESRS 2 SBM-2,115
"ESRS	E1-3	29a,	ESRS	E1-3	AR21,	ESRS	E1-1	14,	16b,j,	ESRS	E1-4	34f,	16b",101,"ESRS S2-SBM-3 11 a,c",115
ESRS	E1-3	29	b,101,"ESRS S2-16, 17, 18, 19",115
"ESRS	E1-3	29	b,	ESRS	E1-4	34	a,b",101,ESRS S2-2,115
"ESRS	E1-3	AR21,	ESRS	E1-4	33,	ESRS	E1-4	34b",101,"ESRS S2-3 27, 28",116
ESRS	E1-3	29	b,101,ESRS S2-4,117
"ESRS	E1-3	29a,	ESRS	E1-1	14,	16b,j",102,ESRS S2-5 41,117
"ESRS	E1-4	34	a,b",102,ESRS S2-5 40,117
"ESRS	E1-4	AR	25	a,b",102,ESRS S2-5 42,117
"ESRS E1-3 29 ci, ESRS E1-1 16c",103,"ESRS	G1-2	15a,	ESRS	G1-2	15b",117
"ESRS E1-1 16 f; ESRS E1-3 29 c ii,16 c & c iii,16 c",103,"ESRS	G1.GOV-1_5a,	ESRS	G1.GOV-1_5b",118
ESRS E1-1 16 d,103,"ESRS	G1-1	9,	ESRS	G1-1	10g,	ESRS	G1-3	20,	21a,	21b,	21c",118
ESRS E1-1 16 g,104,"ESRS G1-1_10a, ESRS G1-1_10c, ESRS G1-3_18a",119
ESRS	E1-6	AR	39b,104,"ESRS G1-4_01, ESRS G1-4_02",119
ESRS E1-6 50,104,,
