0,1
"Disclosure Requirement and related 
SFDR reference","Benchmark 
EU Climate Law 
Pillar 3 reference 
Regulation 
Pages"
datapoint,"reference 
reference"
"ESRS S2-4 Human rights issues and 
incidents connected to its upstream and 
x",Not material
downstream value chain paragraph 36,
"ESRS S3-1 Human rights policy 
x 
commitments paragraph 16",Not material
"ESRS S3-1 non-respect of UNGPs on 
Business and Human Rights, ILO",
"x 
principles or OECD guidelines paragraph","x 
 
Not material"
17,
"ESRS S3-4 Human rights issues and 
x 
incidents paragraph 36",Not material
"ESRS S4-1 Policies related to consumers 
x 
 
and end-users paragraph 16",176
"ESRS S4-1 Non-respect of UNGPs on 
Business and Human Rights and OECD 
x","x 
 
176"
guidelines paragraph 17,
"ESRS S4-4 Human rights issues and 
x 
 
incidents paragraph 35",Not material
"ESRS G1-1 United Nations Convention 
x 
 
against Corruption paragraph 10 (b)",196
"ESRS G1-1 Protection of whistle- blowers 
x 
 
paragraph 10 (d)",197
"ESRS G1-4 Fines for violation of anti-
corruption and anti-bribery laws 
x","x 
 
Not material"
paragraph 24 (a),
"ESRS G1-4 Standards of anti- corruption 
x 
 
and anti- bribery paragraph 24 (b)",Not material
"A
nnex 3 - Abbreviations",
"ANSPDCP - National Supervisory Authority for Personal Data 
Protection","GAR – Green Asset Ratio 
GDPR - General Data Protection Regulation"
"ASF – Financial Supervisory Authority  
BES - Business Environment Scan","GHG – Green House Gas 
ICT - Information and Communication Technology"
"BoD -Board of Directors 
CCVI – Climate Change Vulnerability Index","ISS- Information System Security 
ICVI - Industry Climate Vulnerability Indicators"
"CEO - Chief Executive Officer 
CISO- Chief Information Security Officer/ CIO","ICMA - International Capital Market Association 
IFC - International Finance Corporation (IFC)"
"CSR - Corporate Social Responsibility 
CSRD - Corporate Sustainability Reporting Directive","IFRS- International Financial Reporting Standards 
IROs Impacts, Risks and Opportunities"
"DE&I - Diversity, Equity, and Inclusion 
DAF – Antifraud Direction","KPI Key Performance Indicators 
LMA - Loan Market Association"
"DMA- Double Materiality Assessment 
DPIA - Data Protection Impact Assessment","NZBA - Net-Zero Banking Alliance 
PI – Private Individuals"
"DPO - Data Protection Officer 
EC- Executive Committee","RCVM - Retail Customers Value Management 
SFDR Sustainable Finance Disclosure Regulation"
"EFRAG - European Financial Reporting Advisory Group 
EIB - European Investment Bank","SLL – Sustainable Linked Loans 
SME- Small and Medium Enterprises"
"EIF - European Investment Fund 
E&S – Environmental & Social","SPIF – Sustainable, Positive Impact Financing  
SG - Societe Generale"
"ESG – Environmental, Social and Governance  
ESPIF - Social Environment and Positive Impact Financing",
"ESRS - European Sustainability Reporting Standards 
ETF – Exchange Traded Fund",
