0,1,2,3,4
Annual Report 2024,,,,115
ESRS 2,MDR-M: Metrics in relation to material sustainability matters,Anti-financial crime Sustainability Statement - ‘Metrics’,"ESRS-2 77b: Metrics are not validated by an external body other than our external 
assurance provider",
ESRS 2,MDR-T: Tracking effectiveness of policies and actions through targets,Anti-financial crime Sustainability Statement - ‘Targets’,ESRS-2 80: Not applicable as no targets have been set for this topic,
Data points that derive from other EU legislation,,,,
ESRS standard,Data point that derives from other EU legislation,Relevant EU legislation,Page reference,
General disclosures,,,,
ESRS 2,GOV-1 Board's gender diversity paragraph 21(d),"Benchmark Regulation: Commission Delegated Regulation (EU) 2020/1816, Annex II",146,
ESRS 2,GOV-1 Percentage of board members who are independent paragraph 21(e),"Benchmark Regulation: Commission Delegated Regulation (EU) 2020/1816, Annex II",72,
ESRS 2,GOV-4 Statement of due diligence paragraph 30,SFDR (Indicator number 10 Table #3 of Annex 1),100,
Climate change,,,,
E1,E1-1 Transition plan to reach climate neutrality by 2050 paragraph 14,"EU Climate Law: Regulation (EU) 2021/1119, Article 2(1)",118,
E1,E1-1 Undertakings excluded from Paris-aligned benchmarks paragraph 16 (g),"Pillar 3 Article 449a; Benchmark Regulation Article12.1 (d) to (g), and Article 12.2",117,
E1,E1-4 GHG emission reduction targets paragraph 34,"SFDR (Indicator number 4 Table #2 of Annex 1),  Benchmark Regulation, Pillar 3",119,
E1,E1-5 Energy consumption and mix paragraph 37,SFDR (Indicator number 5 Table #1 of Annex 1),121,
E1,"E1-6 Gross Scope 1, 2, 3 and Total GHG emissions paragraph 44","SFDR (Indicators number 1 and 2 Table #1 of Annex 1); Benchmark Regulation, PIllar 3",122,
E1,E1-6 Gross GHG emissions intensity paragraphs 53—55,"SFDR (Indicators number 3 Table #1 of Annex 1); Benchmark Regulation, PIllar 3",122,
E1,E1-7 GHG removals and carbon credits paragraph 56,"EU Climate Law (Regulation (EU) 2021/1119, Article 2(1))",124,
Own Workforce,,,,
S1,S1-16 Unadjusted gender pay gap paragraph 97 (a),SFDR (Indicator number 12 Table #1 of Annex I);,144,
Business conduct,,,,
G1,G1-4 Fines for violation of anti-corruption and anti-bribery laws paragraph 24 (a),SFDR (Indicator number 17 Table #3 of Annex 1),158,
