0,1,2
"following the outcome of the materiality assessment, including the page numbers and/or paragraphs",,
where the related disclosures are located.,,
Cross-cutting standards Disclosure requirements,,
ESRS 2 General disclosures,Section/,Page Additional Information
,Report,
"BP-1
General basis for preparation of the Sustainability 
Statement",SS,"101
General Basis for Preparation"
"BP-2
Disclosures in relation to specific circumstances",SS,"121
Double Materiality Assessment Process"
,,3. IRO Identification - time horizons
Datapoints that derive from other EU legislation,SS,"174
Appendix"
,,Datapoints that derive from other EU legislation.
"GOV-1
The role of the administrative, management and 
supervisory bodies",SS,"106
Sustainability Governance framework"
,MR,"42
Corporate Governance Report"
,MR,"67 
Nomination & Governance Report"
"GOV-2
Information provided to and sustainability matters 
addressed by the undertaking’s administrative,",SS,"106
Sustainability Governance framework"
management and supervisory bodies,SS,"119
Double Materiality Assessment Process"
,SS,"125
Future-proofing our IRO management process"
"GOV-3
Integration of sustainability-related performance in 
incentive schemes",MR,"74
Report on Directors' Remuneration"
"GOV-4
Statement on sustainability due diligence",SS,"172
Appendix"
,,Statement on sustainability due diligence
"GOV-5
Risk management and internal controls over 
sustainability reporting",MR,"18
Risk & Uncertainties Report"
,SS,"109
Features of Internal Control in relation to the non-"
,,financial reporting process
"SBM-1
Strategy, business model and value chain (products, 
markets, customers)",MR,"16
Business Model"
,SS,"98
ESG Strategy"
"Strategy, business model and value chain 
(headcount by country)",SS,"156
Characteristics of Employees"
"SBM-2
Interests and views of stakeholders",SS,"121
Stakeholder Mapping and Engagement"
,MR,"62
Engagement with Stakeholders"
"SBM-3
Material impacts, risks and opportunities and their 
interaction with strategy and business model",SS,"101
General Basis for Preparation"
,SS,"106
Sustainability Governance framework"
,SS,"119
Double Materiality Assessment Process"
,SS,"110
DMA outcome"
,SS,"113
Material IROs identified"
"IRO-1
Description of the process to identify and assess 
material impacts, risks and opportunities",SS,"119
Double Materiality Assessment Process"
"IRO-2
Disclosure requirements in ESRS covered by the",SS,"169
Appendix"
undertaking’s Sustainability Statement,,Disclosure requirements complied with
SS Sustainability Statement,,
