0,1,2,3,4,5,6
Datapoints that derive from other EU legislation.,,,,,,
"The table below includes all the datapoints that derive from other EU legislation as listed in ESRS 2 appendix B, indicating where the data points can be 
found in our report and which data points are assessed as ‘Not material’.",,,,,,
Disclosure,Data,Disclosure,Legislation,Section/,Page,
Requirement,point,Requirement,,Report,,
ESRS E1-4,34,GHG emission reduction targets,SFDR/P3/BRR,SS,135,
ESRS E1-5,38,"Energy consumption from fossil sources disaggregated by 
sources (only high climate impact sectors)",SFDR,Not relevant,,-
ESRS E1-5,37,Energy consumption and mix,SFDR,SS,135,
ESRS E1-5,40-43,"Energy intensity associated with activities in high climate 
impact sectors",SFDR,Not relevant,,-
ESRS E1-6,44,"Gross Scope 1, 2, 3 and Total GHG emissions",SFDR/P3/BRR,SS,136,
ESRS E1-6,53-55,Gross GHG emissions intensity,SFDR/P3/BRR,SS,137,
ESRS E1-7,56,GHG removals and carbon credits,EUCL,SS,139,
ESRS E1-9,66,"Exposure of the benchmark portfolio to climate-related 
physical risks",BRR,"Not stated – 
phased in",,_
,,,,concession,,
ESRS E1-9,"66 (a); 
66 (c)","Disaggregation of monetary amounts by acute and chronic 
physical risk; Location of significant assets at material",P3,"Not stated – 
phased in",,-
,,physical risk,,concession,,
ESRS E1-9,67 C),"Breakdown of the carrying value of its real estate assets by 
energy-efficiency classes",P3,"Not stated – 
phased in",,-
,,,,concession,,
ESRS E1-9,69,"Degree of exposure of the portfolio to climate-related 
opportunities",BRR,"Not stated – 
phased in",,_
,,,,concession,,
ESRS E2-4,28,"Amount of each pollutant listed in Annex II of the E-PRTR 
Regulation emitted to air, water and soil",SFDR,Not material,,-
ESRS E3-1,9,Water and marine resources,SFDR,Not material,,-
ESRS E3-1,13,Dedicated policy,SFDR,Not material,,-
ESRS E3-1,14,Sustainable oceans and seas,SFDR,Not material,,-
ESRS E3-4,28 c),Total water recycled and reused,SFDR,Not material,,-
ESRS E3-4,29,"Total water consumption in m3 per net revenue on own 
operations",SFDR,Not material,,-
ESRS 2-SBM 3-E4,16 (a) i,Activities negatively affecting biodiversity-sensitive areas,SFDR,Not material,,-
ESRS 2-SBM 3-E4,16 (b),"Land degradation, desertification, or soil sealing",SFDR,Not material,,-
ESRS 2-SBM 3-E4,16 c),Threatened species,SFDR,Not material,,-
ESRS E4-2,24 (b),Sustainable land / agriculture practices or policies,SFDR,Not material,,-
ESRS E4-2,24 c),Sustainable oceans / seas practices or policies,SFDR,Not material,,-
ESRS E4-2,24 (d),Policies to address deforestation,SFDR,Not material,,-
ESRS E5-5,37 (d),Non-recycled waste,SFDR,Not material,,-
ESRS E5-5,39,Hazardous waste and radioactive waste,SFDR,Not material,,-
ESRS 2-SBM3-S1,14 (f),Risk of incidents of forced labour,SFDR,SS,148,
ESRS 2-SBM3-S1,14 (g),Risk of incidents of child labour,SFDR,SS,148,
ESRS S1-1,20,Human rights policy commitments,SFDR,SS,148,
,,,,,147,
,,,,,155,
ESRS S1-1,21,"Due diligence policies on issues addressed by the 
fundamental International Labor Organisation Conventions 1",BRR,SS,148,
,,to 8,,,,
ESRS S1-1,22,"Processes and measures for preventing trafficking in human 
beings",SFDR,SS,148,
ESRS S1-1,23,"Workplace accident prevention policy or management 
system",SFDR,SS,,
,,,,,150,
ESRS S1-3,32 c),Grievance/complaints handling mechanisms,SFDR,SS,155,
