0,1,2,3
2024 Financial Report,,,"Management, Sustainability and Governance Report 
Consolidated financial statements"
,Separate financial,,
,,,statements
S1-15,Work-life balance metrics,"• 
 C.3.1.5 Actions related",to
,,own workforce,
S1-16,"Compensation 
metrics","• 
 C.3.1.5 Actions related",to
,"(pay 
gap 
and 
total",own workforce,
,compensation),,
S1-17,"Incidents,  complaints  and","• 
 C.3.1.5 Actions related",to
,"severe 
human 
rights",own workforce,
,impacts,,
ESRS S2 - Workers in the value chain,,,
"ESRS 2, SBM 2","Interests 
and 
views 
of","• 
 C.3.2.2 interests",and
,stakeholders,views of stakeholders,
"ESRS 2, SBM 3","Material impacts, risks and","• 
 C.3.2.3 Management",of
,"opportunities 
and 
their","the IRO and 
their",interaction  with
,"interaction  with 
strategy",the  strategy and business model,
,and business model,,
S2-1,"Policies 
related 
to  value","• 
 C.3.2.4 Policies  related  to",
,chain workers,value chain workers,
"ESRS 2, MDR-P","ESRS 
2  MDR-P Policies","• 
 C.3.2.4 Policies  related  to",
,"adopted 
to 
manage",value chain workers,
,"material 
sustainability","• 
 C.1.4.1 Policies adopted to",
,matters,"manage 
material",sustainability
,,matters,
S2-2,"Processes 
for 
engaging","• 
 C.3.2.2 Interests",and
,with  value  chain  workers,views of stakeholders,
,about impacts,,
S2-3,"Processes 
to 
remediate","• 
 C.3.2.2 Interests",and
,"negative 
impacts 
and",views of stakeholders,
,"channels 
for  value  chain",,
,workers to raise concerns,,
S2-4,Taking  action  on  material,"• 
 C.3.2.5 Actions",related
,"impacts 
on 
value 
chain",to own workforce,
,"workers,  and  approaches",,
,to managing material risks,,
,"and 
pursuing 
material",,
,"opportunities 
related 
to",,
,"value  chain  workers,  and",,
,"effectiveness 
of 
those",,
,action,,
"ESRS 2, MDR-A","ESRS 
2  MDR-A Actions","• 
 C.3.2.5 Actions",related
,and resources in relation to,to own workforce,
,"material 
sustainability",,
,matters,,
S2-5,"Targets 
related 
to","• 
 C.3.2.6 Metrics",and
,"managing 
material",targets,
,"negative 
impacts,",,
,"advancing 
positive",,
,"impacts, 
and  managing",,
,"material 
risks 
and",,
,opportunities,,
