0,1,2,3,4,5,6,7,8
,"B.  Management 
Sustainability",,,,,,,
C.,,,,,,,,
,D.  Governance,,,,,,,
Disclosure,Data Point,,SFDR4,Pillar 35,Benchmark,EU,Section,Page
,,,Reference,reference,"Regulation6 
reference",Law7,,
,,,,,,reference,,
"ESRS 2 
GOV-1","21-
d",Board's gender diversity,×,,×8,,"D.3.1.3.1 
Composition",
"ESRS 2 
GOV-1",21-e,"Percentage of Board 
members who are",,,×,,"D.3.1.3.1 
Composition",
ESRS 2,30,"independent 
Statement on due",,,,,C.1.2.4,
GOV-4,,diligence,×,,,,"Statement on 
due diligence",
ESRS 2,40-,Involvement in activities,,,,,B.3 Strategy,
SBM-1,d-i,"related to fossil fuel 
activities",×,×9,×,,"and business 
model",
"ESRS 2 
SBM-1","40-
d-ii","Involvement in activities 
related to chemical",×,,×,,Not relevant,
,,production,,,,,,
