0,1,2,3,4,5,6,7
ESRS 2,40-,Involvement in activities,,,,,Not relevant
SBM-1,"d--
iii","related to controversial 
weapons",×,,×10,,
"ESRS 2 
SBM-1","40-
d-iv","Involvement in activities 
related to cultivation and",,,×,,Not relevant
ESRS E1-1,14,"production of tobacco 
Transition plan to reach",,,,×,C.2.1.2
,,"climate neutrality by 
2050",,,,,"Transition plan 
for climate"
,,,,,,,"change 
mitigation"
ESRS E1-1,"16-
g","Undertakings excluded 
from Paris-aligned",,,,,"C.2.1.2 
 
Transition plan"
,,Benchmarks,,×,×,,"for climate 
change"
ESRS E1-4,34,GHG emission reduction,,,,,"mitigation 
C.2.1.6"
,,targets,×,×,×,,"Metrics and 
targets"
ESRS E1-5,38,"Energy consumption 
from fossil sources",,,,,"C.2.1.6 
 
Metrics and"
,,"disaggregated by 
sources (only high",×,,,,targets
ESRS E1-5,37,"climate impact sectors) 
Energy consumption and",,,,,C.2.1.6
,,mix,×,,,,"Metrics and 
targets"
ESRS E1-5,"da 
40 a","Energy intensity 
associated with activities",,,,,"C.2.1.6 
 
Metrics and"
,43,in high climate impact,×,,,,targets
ESRS E1-6,44,"sectors 
Gross Scope 1, 2, 3 and",,,,,C.2.1.6
,,Total GHG emissions,×,×,×,,"Metrics and 
targets"
ESRS E1-6,"Da 
53 a","Gross GHG emissions 
intensity",×,×,×,,"C.2.1.6 
 
Metrics and"
ESRS E1-7,"55 
56",GHG removals and,,,,×,"targets 
C.2.1.6"
,,carbon credits,,,,,Metrics and
ESRS E1-9,66,Exposure of the,,,,,"targets 11 
Phase-in"
,,"benchmark portfolio to 
climate-related physical",,,×,,
ESRS E1-9,66-,"risks 
Disaggregation of",,,,,Phase-in
,"a; 
66-c","monetary amounts by 
acute and chronic",,,,,
,,physical risk; Location of,,×,,,
,,"significant assets at 
material physical risk",,,,,
ESRS E1-9,67-c,"Breakdown of the 
carrying value of its real",,,,,Phase-in
,,estate assets by energy-,,×,,,
,,efficiency classes,,,,,
