0,1,2,3,4,5,6
"Contents
ING at a glance","Strategy, business model 
Our financial performance
and value creation","Our leadership and 
corporate governance","Sustainability Statement
Capital management","Risk management
Consolidated 
financial statements","Parent company 
financial statements","Other information 
and appendices"
Reference index table,,,,,,
Requirement,Description,Art.,Reference,Pages Remarks,,
S4-1,Policies related to consumers and end-users,,"S4 Consumers and end-users - policies, actions and performance",145,,
S4-2,Processes for engaging with own consumers and end-users about impact,,"S4 Consumer and end-users - identified impacts, risks and 
opportunities",144,,
S4-3,"Processes to remediate negative impacts and channels for consumers and end-users to 
raise concerns",,Complaints and remediation process,145,,
S4-4,"Taking action on material impacts on consumers and end-users, and approaches to 
managing material risks and pursuing material opportunities related to consumers and",,"S4 Consumers and end-users - policies, actions and performance",144,,
,"end-users, and effectiveness of those actions",,,,,
S4-5,"S4-5 Targets related to managing material negative impacts, advancing positive impacts, 
and managing material risks and opportunities",,"S4 Consumers and end-users - policies, actions and performance",145,,
Governance - G1 Business conduct,,,,,,
GOV-1,"The role of the administrative, management and supervisory bodies",,Our sustainability governance,103,,
IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",,"Process to identify impacts, risks and opportunities",98,,
G1-1,Business conduct policies and corporate culture,,"G1 Business conduct - policies, actions and performance",149,,
G1-2,Management of relationships with suppliers,,,,"Based on our DMA outcome, this requirement is not applicable",
G1-3,Prevention and detection of corruption and bribery,,Anti-bribery and corruption policy,152,,
G1-4,Incidents of corruption or bribery,,Anti-bribery and corruption policy,152,,
G1-5,Political influence and lobbying activities,,,,"Based on our DMA outcome, this requirement is not applicable",
G1-6,Payment practices,,,,"Based on our DMA outcome, this requirement is not applicable",
