0,1,2
Table of,"1. 
2. 
3. 
4. 
5. 
6. 
7. 
Acerinox 
About 
2024: a 
Economic 
Corporate 
Risk 
Consolidated",8.
contents,"transformational year
performance
governance
management
NFIS
in figures
the Group",Appendices
ESRS,Description,Page
ESRS E2,Pollution,
IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities","62, 63"
ESRS E3,Water and marine resources,
E3-1,Policies related to water and marine resources,95
IRO-1,"Description of the processes to identify and assess material water and marine resources-related impacts, risks and 
opportunities",95
E3-2,Actions and resources related to water and marine resources,96
E3-3,Targets related to water and marine resources,97
E3-4,Water consumption,98
E3-5,"Anticipated financial effects from water and marine resources-related impacts, risks and opportunities",100
ESRS E4,Biodiversity and ecosystems,
IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks and opportunities","62, 63"
ESRS E5,Resource use and circular economy,
E5-1,Policies related to resource use and the circular economy,101
IRO-1,"Description of the processes to identify and assess material resource use and circular economy-related impacts, risks 
and opportunities",100
E5-2,Actions and resources related to resource use and the circular economy,101
E5-3,Targets related to resource use and circular economy.,102
E5-4,Resource inflows,102
E5-5,Resource outflows,103
E5-6,"Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities",104
ESRS S1,Own workforce,
S1-1,Policies related to own workforce,106
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",106
S1-2,Processes for engaging with own workers and workers’ representatives about impacts,108
S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns,"108,108"
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material risks and pursuing 
material opportunities related to own workforce, and effectiveness of those actions",108
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks 
and opportunities","110, 112, 
116"
S1-6,Characteristics of the undertaking’s employees,111
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce,111
S1-8,Collective bargaining coverage and social dialogue,111
S1-9,Diversity metrics,112
S1-10,Adequate wages,"106, 109"
S1-11,Social protection,"108, 112,"
S1-12,Persons with disabilities,112
S1-13,Training and skills development metrics,"108, 113"
S1-14,Health and safety metrics,116
S1-15,Work-life balance metrics,"108, 115"
S1-16,Remuneration metrics (pay gap and total remuneration),115
,Consolidated Management Report Fiscal Year 2024,170
