0,1,2,3,4
"Content index of ESRS disclosure requirements: Environmental standard – Biodiversity and ecosystems
ESRS 2 IRO 2-56",,,,
Disclosure requirements,,"Section /  
Report",Page,Additional information
ESRS E4,Biodiversity and ecosystems,,,
E4-1,Transition plan and consideration of biodiversity and ecosystems in strategy and business model,SUS,133,
"ESRS 2, 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",SUS,"83, 131",
"ESRS 2, 
IRO-1","Description of processes to identify and assess material biodiversity and ecosystem-related impacts,  
risks and opportunities",SUS,"93, 131",
E4-2,Policies related to biodiversity and ecosystems,SUS,133,
E4-3,Actions and resources related to biodiversity and ecosystems,SUS,135,
E4-4,Targets related to biodiversity and ecosystems,SUS,133,
E4-5,Impact metrics related to biodiversity and ecosystems change,SUS,138,
E4-6,Anticipated financial effects from biodiversity and ecosystems-related risks and opportunities,—,—,
SUS – Sustainability Statement; AR – Annual Report,,,,
