0,1,2,3,4,5,6,7,8
ESRS 2 BP-2.15 and IRO 2-56,Appendix B: List of data points in cross-cutting and topical standards that derive from other EU legislation,,,,,,,
"Disclosure 
requirements",Data Point,Description,"SFDR 
reference","Pillar 3 
reference","Benchmark 
regulation","EU  
climate law",Section,Page
,,,,,reference,reference,,
Appendix B,,,,,,,,
ESRS 2 GOV-1,21 d,Board’s gender diversity,√,,√,,SUS,96
ESRS 2 GOV-1,21 e,Percentage of board members who are independent,,,√,,SUS,96
ESRS 2 GOV-4,30,Statement on due diligence,√,,,,SUS,100
ESRS 2 SBM-1,40 d (i),Involvement in activities related to fossil fuel activities,√,√,√,,SUS,81
ESRS 2 SBM-1,40 d (ii),Involvement in activities related to chemical production,√,,√,,N/M,
ESRS 2 SBM-1,40 d (iii),Involvement in activities related to controversial weapons,√,,√,,N/M,
ESRS 2 SBM-1,40 d (iv),Involvement in activities related to cultivation and production of tobacco,,,√,,N/M,
ESRS E1-1,14,Transition plan to reach climate neutrality by 2050,,,,√,SUS,116
ESRS E-1,16 g,Undertakings excluded from Paris-aligned benchmarks,,√,√,,SUS,120
ESRS E1-4,34,GHG emission reduction targets,√,√,√,,SUS,118
ESRS E1-5,38,"Energy consumption from fossil sources disaggregated by sources  
(only high climate impact sectors)",√,,,,SUS,127
ESRS E1-5,37,Energy consumption and mix,√,,,,SUS,127
ESRS E1-5,40-43,Energy intensity associated with activities in high climate impact sectors,√,,,,SUS,127
ESRS E1-6,44,"Gross Scope 1, 2, 3 and total GHG emissions",√,√,√,,SUS,124
ESRS E1-6,53-55,Gross GHG emissions intensity,√,√,√,,SUS,126
ESRS E1-7,56,GHG removals and carbon credits,,,,√,SUS,117
ESRS E1-9,66,Exposure of the benchmark portfolio to climate-related physical risks,,,√,,Phase-in,
ESRS E1-9,66 (a),Disaggregation of monetary amounts by acute and chronic physical risks,,√,,,Phase-in,
ESRS E1-9,66 (c),Location of significant assets at material physical risk,,√,,,Phase-in,
ESRS E1-9,67 (c),Breakdown of the carrying value of real estate assets,,√,,,Phase-in,
ESRS E1-9,69,Degree of exposure of the portfolio to climate-related opportunities,,,√,,Phase-in,
ESRS E2-4,28,"Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European Pollutant Release 
and Transfer Register) emitted to air, water and soil",√,,,,N/M,
