0,1,2,3,4,5,6,7,8
ESRS 2 BP-2.15 and IRO 2-56,Appendix B: List of data points in cross-cutting and topical standards that derive from other EU legislation,,,,,,,
"Disclosure 
requirements",Data Point,Description,"SFDR 
reference","Pillar 3 
reference","Benchmark 
regulation","EU  
climate law",Section,Page
,,,,,reference,reference,,
Appendix B,,,,,,,,
ESRS E3-1,9,Water and marine resources,√,,,,N/M,
ESRS E3-1,13,Dedicated policy,√,,,,N/M,
ESRS E3-1,14,Sustainable oceans and seas,√,,,,N/M,
ESRS E3-1,28 c,Total water recycled and reused,√,,,,N/M,
ESRS E3-1,29,Total water consumption in m3 per net revenue on own operations,√,,,,N/M,
ESRS 2 – SBM 3 – E4,16 a (i),,√,,,,SUS,141
ESRS 2 – SBM 3 – E4,16 b,,√,,,,SUS,141
ESRS 2 – SBM 3 – E4,16 c,,√,,,,SUS,140
ESRS E4-2,24 b,Sustainable land / agriculture practices or policies,√,,,,N/M,
ESRS E4-2,24 c,Sustainable ocean / seas practices or policies,√,,,,N/M,
ESRS E4-2,24 d,Policies to address deforestation,√,,,,SUS,135
ESRS E5-5,37 d,Non-recycled waste,√,,,,SUS,137
ESRS E5-5,39,Hazardous waste and radioactive waste,√,,,,N/M,
ESRS 2 – SBM 3 – S1,14 f,Risk of incidents of forced labour,√,,,,SUS,148
ESRS 2 – SBM 3 - S1,14 g,Risk of incidents of child labour,√,,,,SUS,148
ESRS S1-1,20,Human rights policy commitments,√,,,,SUS,151
ESRS S1-1,21,"Due diligence policies on issues addressed by the fundamental  
International Labour Organization Conventions 1 to 8",,,√,,SUS,151
ESRS S1-1,22,Processes and measures for preventing human trafficking,√,,,,SUS,163
ESRS S1-1,23,Workplace accident prevention policy or management system,√,,,,SUS,163
ESRS S1-3,32 c,Grievance/complaints handling mechanisms,√,,,,N/M,
ESRS S1-14,"88 b, c",Number of fatalities and number and rate of work-related accidents,√,,√,,SUS,159
ESRS S1-14,88 e,"Number of days lost to injuries, accidents, fatalities, or illness",√,,,,SUS,159
,SUS – Sustainability Statement; AR – Annual report; N/A – Data point is not applicable; N/M – Data point is not material,,,,,,,
