0,1,2,3
GRI Standards,Disclosure Requirement,Sustainability report,Sections
GRI 207:,207-1 Tax approach,"This topic is not covered by the list of sustainability 
questions in ESRS 1.",5.12.2.4
Taxation 2019,"207-2 Governance, control and management of tax",This topic is not covered by the list of sustainability,
,risks,questions in ESRS 1.,5.12.2.4
,"207-3 Stakeholder engagement and management of 
tax concerns","This topic is not covered by the list of sustainability 
questions in ESRS 1.",5.12.2.4
,207-4 Country by country report,"This topic is not covered by the list of sustainability 
questions in ESRS 1.",5.12.2.4; 5.12.3.3
,301-1 Materials used by weight or volume,ESRS E5 E5-4,5.7.2.2
,301-2 Recycled input materials used,ESRS E5 E5-4,5.7.2.2
,"301-3 Reclaimed products and their packaging 
materials","“Product and service resource flows” and “Waste” are 
sustainability issues for E5 covered by ESRS 1.","Not
concerned"
,,"Therefore, this GRI disclosure is covered by MDR-P, 
MDR-A, MDR-T, and/or as an entity-specific metric to",
,,"be disclosed according to ESRS 1 and in accordance 
with MDR-M.",
GRI 302:,3-3 Management of material topics,ESRS E1 E1-2; E1-3; E1-4,"5.3.3.2; 5.3.3.3;
5.3.4.1"
Energy,302-1 Energy consumption within the organisation,ESRS E1 E1-5,5.3.4.2
2016,,“Energy” is a sustainability issue for E1 covered by,5.3.4.3
,,"ESRS 1. Therefore, this GRI disclosure is covered by 
MDR-P, MDR-A, MDR-T, and/or as an entity-specific",
,"302-2 Energy consumption outside of the 
organisation","metric to be disclosed according to ESRS 1 and in 
accordance with MDR-M.",
,302-3 Energy intensity,ESRS E1 E1-5,5.3.4.2
,,"“Energy” is a sustainability issue for E1 covered by 
ESRS 1. Therefore, this GRI disclosure is covered by",5.3.3.3
,,"MDR-P, MDR-A, MDR-T, and/or as an entity-specific",5.3.4.1
,302-4 Reduction of energy consumption,"metric to be disclosed according to ESRS 1 and in 
accordance with MDR-M.",5.3.4.2
,,"“Energy” is a sustainability issue for E1 covered by 
ESRS 1. Therefore, this GRI disclosure is covered by",5.3.3.3
,,"MDR-P, MDR-A, MDR-T, and/or as an entity-specific",5.3.4.1
,"302-5 Reductions in energy requirements of products
and services","metric to be disclosed according to ESRS 1 and in 
accordance with MDR-M.",5.3.4.2
GRI 303:,3-3 Management of material topics,,5.5.1.1; 5.5.1.2
"Water and effluents  
2018",303-1 Interactions with water as a shared resource,ESRS 2 SBM-3; MDR-T; ESRS E3 E3-2,"5.1.3.2; 5.3.2.1;
5.5.1.3"
,"303-2 Management of water discharge related 
impacts",ESRS E2 E2-3,5.4.2.1
,303-3 Water withdrawal,"“Water withdrawal” is a sustainability issue for E3 
covered by ESRS 1. Therefore, this GRI disclosure is",5.5.2.2
,,"covered by MDR-P, MDR-A, MDR-T, and/or as an 
entity-specific metric to be disclosed according to",
,,ESRS 1 and in accordance with MDR-M.,
,303-4 Water discharge,"“Water discharge” is a sustainability issue for E3 
covered by ESRS 1. Therefore, this GRI disclosure is",5.5.2.2
,,"covered by MDR-P, MDR-A, MDR-T, and/or as an 
entity-specific metric to be disclosed according to",
,,ESRS 1 and in accordance with MDR-M.,
,303-5 Water consumption,ESRS E3 E3-4,5.5.2.2
GRI 304:,3-3 Management of material topics,ESRS E4 E4-1; E4-2; E4-3; E4-4,"5.6.1.2; 5.6.2.2;
5.6.2.3; 5.6.3.1"
Biodiversity 2016,"304-1 Operational sites owned, leased, managed in or",ESRS E4 E4-5,5.6.3.2
,"adjacent to protected areas and areas of high 
biodiversity value outside protected areas",,
,"304-2 Significant impacts of activities, products and 
services on biodiversity",ESRS E4 E4-5,5.6.3.2
,304-3 Habitats protected or restored,ESRS E4 E4-3; E4-4,5.6.2.3; 5.6.3.1
,"304-4 IUCN Red List species and national 
conservation list species with habitats in areas",ESRS E4 E4-5,5.6.3.2
,affected by operations,,
