0,1,2,3,4
GRI Standards,Disclosure Requirement,Sustainability report,Sections,
GRI 305:,3-3 Management of material topics and GRI 305 1.2,ESRS E1 E1-2; E1-3; E1-4; E1-7; ESRS E2 E2-1; E2-2; E2-3,"5.3.3.2; 5.3.3.3;
5.3.4.1; 5.3.4.4",
Emissions 2016,305-1 Direct (Scope 1) GHG emissions,ESRS E1 E1-4; E1-6,5.3.4.1; 5.3.4.3,
,305-2 Energy indirect (Scope 2) GHG emissions,ESRS E1 E1-4; E1-6,5.3.4.1; 5.3.4.3,
,305-3 Other indirect (Scope 3) GHG emissions,ESRS E1 E1-4; E1-6,5.3.4.1; 5.3.4.3,
,305-4 GHG emissions intensity,ESRS E1 E1-6,5.3.4.3,
,Reduction of GHG emissions,ESRS E1 E1-3; E1-4; E1-7,"5.3.3.3; 5.3.4.1;
5.3.4.4",
,305-6 Emissions of ozone-depleting substances (ODS),"Air pollution is a sustainability issue for E2 covered by 
ESRS 1 §AR 16. Therefore, this GRI disclosure is covered","Not
concerned",
,,"by MDR-P, MDR-A, MDR-T, and/or as an entity-
specific metric to be disclosed according to ESRS 1 §11",,
,,and in accordance with MDR-M.,,
,"305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and 
other significant air emissions",ESRS E2 E2-4,5.4.2.2,
GRI 306:,3-3 Management of material topics,ESRS E5 E5-1; E5-2; E5-3,"5.7.1.2; 5.7.1.3;
5.7.2.1",
Waste,306-1 Waste generation and significant waste-related,ESRS 2 SBM-3; ESRS E5 E5-4,5.7.2.2,
2020,impacts,,,5
,"306-2 Management of significant waste-related 
impacts",ESRS E5 E5-2; E5-5,5.7.1.3; 5.7.2.3,
,306-3 Waste generated,ESRS E5 E5-5,5.7.2.3,
,306-4 Waste diverted from disposal,ESRS E5 E5-5,5.7.2.3,
,306-5 Waste directed to disposal,ESRS E5 E5-5,5.7.2.3,
GRI 306:,306-3 Significant spills,"Air pollution, water pollution and soil pollution are 
sustainability issues for E2 covered by ESRS 1.","5.4.1.2; 5.4.1.3;
5.4.2.2",
"Effluents and waste 
2016",,"Therefore, this GRI disclosure is covered by MDR-P,",,
,,"MDR-A, MDR-T and/or as an entity-specific indicator 
to be published in accordance with ESRS 1 and  with",,
,,MDR-M,,
GRI 308:,3-3 Management of material topics,ESRS G1 G1-2,5.12.2.5,
"Supplier 
Environmental","308-1 New suppliers that were screened using 
environmental criteria",ESRS G1 G1-2,5.12.2.5,
Assessment 2016,308-2 Negative environmental impacts in the supply,ESRS 2 SBM-3,5.1.3.2,
,chain and actions taken,,,
GRI 401:,3-3 Management of material topics,"ESRS S1 S1-1; S1-2; S1-4; S1-5; ESRS S2 ; S2-1; S2-2; S2-4; 
S2-5","5.8.2.1; 5.8.2.2;
5.8.2.4; 5.8.3.1",
Employment 2016,401-1 New employee hires and employee turnover,ESRS S1 S1-6,5.8.3.2,
,"401-2 Benefits provided to full-time employees that 
are not provided  to temporary or part-time",ESRS S1 S1-11,5.8.3.7,
,employees,,,
,401-3 Parental leave,ESRS S1 S1-15,5.8.3.11,
GRI 402:,3-3 Management of material topics,"ESRS S1 S1-1; S1-2; S1-4; S1-5; ESRS S2 S2-1; S2-2; S2-4; 
S2-5",5.8.2.2,
"Labour/management 
relations 2016",402-1 Minimum notice periods regarding operational,“Social dialogue” and “Collective bargaining” are,5.8.3.4,
,changes,"sustainability issues for S1 covered by ESRS 1. 
Therefore, this GRI disclosure is covered by MDR-P,",,
,,"MDR-A, MDR-T, and/or as an entity-specific metric to 
be disclosed according to ESRS 1 and in accordance",,
,,with MDR-M.,,
