0,1,2
Disclosure requirements in ESRS,,
Disclosure requirement,Section,Page
General information,,
ESRS 2 General disclosure,,
"ESRS 2 BP-1 – General basis for preparation of 
sustainability statements","Basis for preparation and methodology (Reporting 
principles and following paragraphs)",314
"ESRS 2 BP-2 – Disclosures in relation to specific 
circumstances","Basis for preparation and methodology (Time horizons 
and following paragraphs)",315
"ESRS 2 GOV-1 – The role of the administrative,","Role and composition of the administrative, 
management and supervisory bodies and the",332
management and supervisory bodies,governance of sustainability,
"ESRS 2 GOV-2 – Information provided to and 
sustainability matters addressed by the undertaking’s",The governance of sustainability,336
"administrative, management and supervisory bodies",,
"ESRS 2 GOV-3 – Integration of sustainability-related 
performance in incentive schemes","Integration of sustainability-related performance in 
incentive schemes",339
ESRS 2 GOV-4 – Statement on due diligence,Statement on due diligence,316
"ESRS 2 GOV-5 – Risk management and internal controls 
over sustainability reporting","Risk management and internal controls over 
sustainability reporting",341
"ESRS 2 SBM-1 – Strategy, business model and value 
chain","Strategy, business model and value chain",317
ESRS 2 SBM-2 – Interests and views of stakeholders,"Strategy, business model and value chain - Strategy 
Engaging with the VUB Group´s stakeholders","317 
322"
"ESRS 2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with strategy and",Consolidating the list of material sustainability topics for,327
business model,the VUB Group,
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material impacts, risks and opportunities",Double materiality assessment,321
"ESRS 2 IRO-2 – Disclosure requirements in ESRS covered 
by the undertaking’s sustainability statement","List of datapoints in cross-cutting and topical standards 
that derive from other EU legislation",436
Environmental information,,
"Disclosures pursuant to Article 8 of Regulation (EU) 
2020/85","Disclosures pursuant to Article 8 of Regulation (EU) + 
Annex – Taxonomy Templates","342 
440"
E1 Climate change,,
"ESRS 2 GOV-3 – Integration of sustainability-related 
performance in incentive schemes","Integration of climate-related performance in incentive 
schemes",349
E1-1 – Transition plan for climate change mitigation,GHG emissions reduction targets,352
"ESRS 2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with strategy and","Materiality assessment process on impacts, risks and",345
business model,opportunities related to climate change,
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material climate-related impacts, risks and","Materiality assessment process on impacts, risks and",345
opportunities,opportunities related to climate change,
"MDR-P – Policies adopted to manage material 
sustainability matters",Policies related to climate change mitigation and,
E1-2 – Policies related to climate change mitigation and,adaptation,349
adaptation,,
"MDR-A – Actions and resources in relation to material 
sustainability matters",,
E1-3 – Actions and resources in relation to climate,Actions and resources related to climate change,352
change policies,,
"MDR-T – Tracking effectiveness of policies and actions 
through targets",GHG emissions reduction targets,352
E1-5 – Energy consumption and mix,Metrics on energy consumption,356
"E1-6 – Gross Scopes 1, 2, 3 and Total GHG emissions",Metrics on GHG emissions,357
E1-8 – Internal carbon pricing,Internal carbon pricing,360
