0,1,2,3,4,5,6
standards that derive from other EU legislation,,,,,,
Disclosure Requirement and related datapoint,SFDR18,Pillar 319,"Benchmark 
Regulation20",Law21,EU Climate,Page
"ESRS 2 GOV-1 
Board’s gender diversity paragraph 21 (d)",x,,x,,,334
"ESRS 2 GOV-1 
Percentage of board members who are independent",,,x,,,333
paragraph 21 (e),,,,,,
"ESRS 2 GOV-4 
Statement on due diligence paragraph 30",x,,,,,316
"ESRS 2 SBM-1 
Involvement in activities related to fossil fuel activities",x,x,x,,,320
paragraph 40 (d) i,,,,,,
"ESRS 2 SBM-1 
Involvement in activities related to chemical",x,,x,,,320
production paragraph 40 (d) ii,,,,,,
"ESRS 2 SBM-1 
Involvement in activities related to controversial",x,,x,,,320
weapons paragraph 40 (d) iii,,,,,,
"ESRS 2 SBM-1 
Involvement in activities related to cultivation and",,,x,,,320
production of tobacco paragraph 40 (d) iv,,,,,,
"ESRS E1-1 
Transition plan to reach climate neutrality by 2050",,,,,x,No transition
paragraph 14,,,,,,plan yet
"ESRS E1-1 
Undertakings excluded from Paris-aligned Benchmarks",,x,x,,,No transition
paragraph 16 (g),,,,,,plan yet
"ESRS E1-4 
GHG emission reduction targets paragraph 34",x,x,x,,,352
"ESRS E1-5 
Energy consumption from fossil sources disaggregated",,,,,,
by sources (only high climate impact sectors),x,,,,,356
paragraph 38,,,,,,
ESRS E1-5 Energy consumption and mix paragraph 37,x,,,,,356
"ESRS E1-5 
Energy intensity associated with activities in high",x,,,,,356
climate impact sectors paragraphs 40 to 43,,,,,,
"ESRS E1-6 
Gross Scope 1, 2, 3 and Total GHG emissions",x,x,x,,,357
paragraph 44,,,,,,
"ESRS E1-6 
Gross GHG emissions intensity paragraphs 53 to 55",x,x,x,,,360
"ESRS E1-7 
GHG removals and carbon credits paragraph 56",,,,,x,Non-material
"ESRS E1-9 
Exposure of the benchmark portfolio to climate-",,,x,,,"Unreported 
information"
related physical risks paragraph 66,,,,,,for 2024
"ESRS E1-9 
Disaggregation of monetary amounts by acute and",,x,,,,"Unreported 
information"
chronic physical risk paragraph 66 (a),,,,,,for 2024
