0,1,2
Daimler Truck | 2024 Annual Report,"Daimler Truck at a Glance
Combined Management Report
> Sustainability at Daimler Truck",153
,"Consolidated Financial Statements
Further Information",
Notes to the chapter Sustainability at Daimler Truck,,
Disclosure requirements and inclusion by reference,,
,The following tables list all disclosure requirements of ESRS 2 and the seven thematic ESRS standards that are material for Daimler Truck and that were used as a basis for preparing our Group Sustainability,
"Statement. We have not taken into account all disclosure requirements of the thematic standards E3, E4 and S3, as these are below our materiality threshold.",,
The tables can be used to find the information related to a specific disclosure requirement in the Group Sustainability Statement.,,
,The tables also show where we have located information relating to a specific disclosure requirement outside the Group Sustainability Statement and included it by reference.,
"In cases where we do not yet have information on a disclosure requirement, no reference is provided.",,
B.77,,
ESRS 2 - General requirements,,
,,Page
BP-1,General basis for the preparation of sustainability statements,68
BP-2,Disclosures in relation to specific circumstances,68 - 69
GOV-1,"The role of administrative, management and supervisory bodies",70 - 71
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",71
GOV-3,Integration of sustainability-related performance in incentive schemes,75
GOV-4,Statement on due diligence,160
GOV-5,Risk management and internal controls over sustainability reporting,71; 73 - 74
SBM-1,"Strategy, business model and value chain",67
SBM-2,Interests and views of stakeholders,75
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",78
IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",76 - 78
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,153 - 157
