0,1,2,3
Daimler Truck | 2024 Annual Report,,"Daimler Truck at a Glance
Combined Management Report
> Sustainability at Daimler Truck",158
,,"Consolidated Financial Statements
Further Information",
,List of data points in general and topic-specific standards arising from other EU legislation,,
B.85,,,
Data points from other EU legislation,,,
"Disclosure 
obligation",Data point,Data point name,Page
ESRS 2 GOV-1,21 (d),Gender Diversity in Management and Supervisory Bodies,70
ESRS 2 GOV-1,21 (e),Percentage of management body members who are independent,70
ESRS 2 GOV-4,30,Declaration of due diligence,160
ESRS 2 SBM-1,40 (d) i,Involvement in fossil fuel-related activities,n / a
ESRS 2 SBM-1,40 (d) ii,Involvement in activities related to the production of chemicals,n / a
ESRS 2 SBM-1,40 (d) iii,Involvement in activities related to controversial weapons,n / a
ESRS 2 SBM-1,40 (d) iv,Participation in activities related to the cultivation and production of tobacco,n / a
ESRS E1-1,14,Transition plan to achieve climate neutrality by 2050,84
ESRS E1-1,16 (g),Companies that are exempt from the reference values agreed in Paris,n / a
ESRS E1-4,34,GHG emission reduction targets,84
ESRS E1-5,38,Energy consumption from fossil fuels broken down by source (climate-intensive sectors only),91
ESRS E1-5,37,Energy consumption and energy mix,90 - 92
ESRS E1-5,40-43,Energy intensity related to activities in climate-intensive sectors,92
ESRS E1-6,44,"Gross GHG emissions in the Scope 1, 2 and 3 categories and total GHG emissions",93
ESRS E1-6,53-55,Intensity of gross GHG emissions,92
ESRS E1-7,56,Removal of greenhouse gases and  CO₂ certificates,96
ESRS E1-9,66,Risk position of the reference portfolio against climate-related physical risks,Phase-in
ESRS E1-9,"66 (a), 66 (c)",Breakdown of monetary amounts by acute and chronic physical risk; location where significant assets with significant physical risk are located,Phase-in
ESRS E1-9,67 (c),Breakdowns of the book value of its real-estate by energy efficiency classes,Phase-in
ESRS E1-9,69,Degree of portfolio exposure to climate-related opportunities,Phase-in
ESRS E2-4,28,"Amount of each pollutant listed in notes II of the E-PRTR Regulation (European Pollutant Release and Transfer Register) emitted into air, water and soil",n / a
ESRS E3-1,9,Water and marine resources,Not material
ESRS E3-1,13,Special concept,Not material
ESRS E3-1,14,Sustainable Oceans and Seas,Not material
ESRS E3-4,28 (c),Total amount of water recovered and reused,Not material
ESRS E3-4,29,Total water consumption in m³ per net income from own activities,Not material
ESRS 2 SBM-3 E4,16 (a) i,,Not material
ESRS 2 SBM-3 E4,16 (b),,Not material
ESRS 2 SBM-3 E4,16 (c),,Not material
