0,1,2,3,4
Daimler Truck | 2024 Annual Report,,"Daimler Truck at a Glance
Combined Management Report",> Sustainability at Daimler Truck,160
,,"Consolidated Financial Statements
Further Information",,
Declaration of Due Diligence,,,,
B.87,,,,
Declaration of due diligence,,,,
"Core elements of due 
diligence",Unit sales in the sustainability statement,,,
"a) Integration of due diligence
    into governance, strategy and","ESRS 2 GOV-2: 71
ESRS 2 GOV-3: 75",,,
business model,"ESRS 2 SBM-3: 80 (E1); 115-116 (S1); 132 (S2); 138 
(S4)",,,
"b) Involvement of affected 
    stakeholders in all important","ESRS 2 GOV-2: 71
ESRS 2 SBM-2: 75",,,
steps of due diligence,"ESRS 2 IRO-1: 76-78
ESRS 2 MDR-P: 72, 74 (ESRS 2); 83 (E1); 126 - 131",,,
,(S1);134 (S2);141 (S4),,,
"c) Identification and 
    measurement of negative","ESRS 2 IRO-1: 76-78 (E1, E2, E5, G1)
Other: 116 (S1); 132 (S2);138 (S4)",,,
impacts,,,,
"d) Measures to counteract 
    these negative impacts","ESRS 2 MDR-A: 85 - 90 (E1); 97 (E2); 101 - 103 (E5); 
118 - 122 (S1); 135 - 137 (S2); 141 - 143 (S4)",,,
"e) Tracking the effectiveness of 
    these efforts and","ESRS 2 MDR-M: 90 - 96 (E1); 104 - 105 (E5); 120 - 125 
(S1)",,,
communication,"ESRS 2 MDR-T: 84 - 85 (E1); 100 (E5);120 (S1); 135 
(S2)",,,
