0,1,2,3
Disclosure requirements in ESRS covered by KPN’s sustainability statement,,,
"ESRS/ 
Entity",Requirement,Summary of requirement,"Starting on 
page"
"specific
(ES)",,,
ESRS 2,DR BP1 – BP2,Basis for preparation,P. 47
ESRS 2,DR GOV-1 – GOV-5,Governance,P. 49
ESRS 2,DR SBM-1 – SBM-3,"Strategy, business model and value chain, interests and views of stakeholders, IROs and their 
interaction with strategy and business model",P. 54
ESRS 2,DR IRO-1 – IRO-2,"Impact, risk and opportunity management",P. 63
ESRS 2,"MDR-P, A, M, T","Minimum disclosure requirements – policies, actions, metrics and targets",All sections
E1,DR related to ESRS 2 GOV-3,Sustainability-related performance in incentive schemes,P. 77
E1,"DR E1-1 &
DR related to ESRS 2 SBM-3","Transition plan for climate change mitigation
Material IROs and their interaction with strategy and business model",P. 77
E1,"DR related to ESRS 2 IRO-1, 
DR E1-2 – E1-3","Climate-related impacts, risks and opportunities processes
policies, actions and resources",P. 81
E1,DR E1-4 – E1-9,Climate change metrics and targets,P. 87
E5,"DR related to ESRS 2 IRO-1
E5-1 – E5-2","Resource use and circular economy-related impacts, risks and opportunities processes
policies, actions and resources",P. 97
E5,E5-3 – E5-6,Resource use and circular economy metrics and targets,P. 101
S1,DR related to ESRS 2 SBM-2 – SBM-3,"Interests and views of stakeholders, IROs",P. 107
S1,DR S1-1 – S1-4,"Impact, risk and opportunity management, Own workforce policies, processes and actions",P. 108
S1,DR S1-5 – S1-17,Own workforce metrics and targets,P. 114
S2,DR related to ESRS 2 SBM-2 – SBM-3,"Interest and views of stakeholders, IROs",P. 122
S2,DR S2-1 – S2-4,"Impact, risk and opportunity management 
Workers in the value chain policies, processes and actions",P. 123
S2,DR S2-5,Workers in the value chain metrics and targets,P. 127
S4,DR related to ESRS 2 SBM-2 – SBM-3,"Interest and views of stakeholders, IROs",P. 129
S4,DR S4-1 – S4-4,"Impact, risk and opportunity management
Consumers and end-users policies, processes and actions related to privacy",P. 130
S4,DR S4-5,Consumers and end-users metrics and targets related to privacy,P. 134
ES,DR S4-1 – S4-4,"Impact, risk and opportunity management
Consumers and end-users policies, processesand actions related to customer value",P. 135
ES,DR S4-5,Consumers and end-users metrics and targets related to customer value,P. 139
ES,DR S4-1 – S4-4,"Impact, risk and opportunity management
Consumers and end-users policies, processes and actions related to network quality",P. 141
ES,DR S4-5,Consumers and end-users metrics and targets related to network quality,P. 148
ES,DR S4-1 – S4-4,"Impact, risk and opportunity management
Consumers and end-users policies, processes and actions related to security",P. 151
ES,DR S4-5,Consumers and end-users metrics and targets related to security,P. 154
G1,DR related to ESRS 2 GOV-1,Governance,P. 156
G1,"DR related to ESRS 2 IRO-1
DR G1-1, G1-3","Impact, risk and opportunity management
Corporate culture and business conduct policies",P. 157
G1,"DR G1-4, G1-5",Business conduct metrics and targets,P. 160
