0,1,2,3,4
Appendix I: ESRS Reference Table,,,,
Material Topic,ESRS,Disclosure Description,Page,Other EU Legislation
,Disclosure #,,,(if applicable)41
General Statements,,,,
All,BP-1,General basis for preparation of the sustainability statement,145,
All,BP-2,Disclosures on specific circumstances,149,
All,GOV-1,"Administrative, management and supervisory bodies",145,ESRS 2 GOV-1 21(d): 1; 3
,,,,ESRS 2 GOV-1 21(e): 3
All,GOV-2,"Information  provided  to  and  sustainability  matters  addressed  by  the  undertaking’s  administrative,  management  and",145,
,,supervisory bodies,,
All,GOV-3,Integration of sustainability-related performance in incentive schemes,145,
All,GOV-4,Statement on due diligence,146,ESRS 2 GOV-4: 1
All,GOV-5,Risk management and internal controls over sustainability reporting,146,
All,SBM-1,"Sustainability-related strategy, business model and value chain",146,
All,SBM-2,Interests and views of stakeholders and stakeholder engagement,146,
All,SBM-3,"Overview of material impacts, risks and opportunities and their interaction with strategy and business model",148,
All,IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities through the Double Materiality",148,
,,Assessment,,
All,IRO-1,Description of how assets have been screened,148,
All,IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s sustainability statements,171,
