0,1,2,3,4
Material Topic,ESRS,Disclosure Description,Page,Other EU Legislation
,Disclosure #,,,(if applicable)41
Environmental Statements: Climate,,,,
Climate,SBM-3,"Material impacts, risks and opportunities related to Climate and their interaction with strategy and business model",151,
Climate,SBM-3,Resilience analysis and related details,152,
Climate,IRO-1,Process related to impacts on climate change,152,
Climate,E1-1,Transition plan for climate change mitigation and related metrics,154,E1-1 14: 4
Climate,E1-1,Undertakings excluded from Paris-aligned Benchmarks,155,E1-1 16(g): 2; 3
Climate,E1-2,Policies related to climate change mitigation and adaptation,151,
Climate,E1-3,"Actions  and  resources  in  relation  to  climate  change  policies  including  decarbonization  levers,  potential  outcomes,  and",154,
,,CapEx and OpEx required to implement related to regulation (EU) 2021/2178,,
Climate,E1-4,Targets and progress related to climate change mitigation and adaptation,155,E1-4 34: 1; 2; 3
Climate,E1-5,Energy consumption and mix,155,"E1-5 37, 38, 40-43: 1"
Climate,E1-6,"Gross Scope 1, 2, 3 and Total GHG emissions",156,E1-6 44: 1; 2; 3
Climate,E1-6,Gross GHG emissions intensity,156,E1-6 53-55: 1; 2; 3
Agriculture &,SBM-3,"Material impacts, risks and opportunities related to Pollution and their interaction with strategy and business model",157,
Natural,,,,
Ecosystems,,,,
Agriculture &,E2-1,Pollution-related policies,157,
Natural,,,,
Ecosystems,,,,
Agriculture &,E2-2,Pollution-related actions and resources,157,
Natural,,,,
Ecosystems,,,,
Agriculture &,E2-3,Pollution-related targets,157,
Natural,,,,
Ecosystems,,,,
Environmental Statements: Water,,,,
Water,SBM-3,"Material impacts, risks and opportunities related to Water and their interaction with strategy and business model",150,
Water,E3-1,"Policies addressing impacts, risks and opportunities related to water",150,"E3-1 9, 13: 1"
Water,E3-2,Water-related actions and resources,150,
Water,E3-3,Water-related targets,150,
Water,E3-4,Water consumption and related metrics,151,"E3-4 28(c), 29: 1"
"4
Benchmark Regulation; 4: EU Climate Law.",1 This column contains the material disclosures as listed in Appendix B of ESRS 2. Any excluded disclosure requirements and related datapoints in Appendix B are considered not material. The regulations in Appendix B are referenced as follows. 1: SFDR; 2: Pillar 3; 3:,,,
