0,1,2
List of disclosure requirements,,Page #
General information,,
BP-1,General basis for preparation of sustainability statement,22
BP-2,Disclosures in relation to specific circumstances Time Horizons and Data methodology for reporting,22
GOV-1,The role of the administrative management and supervisory bodies,24
GOV-2,Information and sustainability aspects dealt with by the company’s administrative management and supervisory bodies,26
GOV-3,Integration of sustainability-related performance in incentive schemes,27
GOV-4,Statement on due diligence,29
GOV-5,Risk management and internal controls over sustainability Statement,29
SBM-1,Strategy business model and value chain,31
SBM-2,Interests and views of stakeholders,33
SBM-3,Material impacts risks and opportunities and their interaction with Erste Group’s strategy and business model,35
IRO-1,Description of the process to identify and assess material impacts risks and opportunities,37
IRO-2,Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,41
Climate change,,
E1 SBM-3,Material impacts risks and opportunities and their interaction with strategy and business model,160
E1-2,Policies and transition measures for climate change mitigation and adaptation,170
E1-3,Actions and resources in relation to climate change mitigation and adaptation,177
E1-4,Targets related to climate change mitigation and adaptation,179
E1-5,Energy consumption and mix,187
E1-6,Gross Scopes 1 2 3 and Total GHG emissions,188
Biodiversity and ecosystems,,
E4 SBM-3,Material impact related to biodiversity and ecosystems,197
E4-1,Resilience of Erste Group’s strategy and business model in relation to soil sealing,197
E4-2,Policies related to soil sealing,198
E4-3,Actions and resources related to soil sealing,199
E4-4,Targets related to soil sealing,199
E4-5,Impact metrics related to soil sealing,199
Own workforce,,
S1 SBM-3,Material impacts risks and opportunities and their interaction with strategy and business model,200
S1-1,Policies related to own workforce,202
S1-2,Processes for engaging with own workforce and workers’ representatives about impacts,205
S1-3,Processes to remediate negative impacts and channels for own workforce to raise concerns,207
S1-4,"Taking action on material impacts on own workforce and approaches to managing material risks and pursuing material 
opportunities related to own workforce and effectiveness of those actions",208
S1-5,"Targets related to managing material negative impacts advancing positive impacts and managing material risks and 
opportunities",213
S1-6,Characteristics of the undertaking’s employees,214
S1-7,Characteristics of non-employees in the undertaking’s own workforce,216
S1-9,Diversity metrics,216
S1-12,Persons with disabilities,216
S1-13,Training and skills development metrics,216
S1-14,Health and safety metrics,217
S1-15,Work-life balance metrics,218
S1-16,Remuneration metrics (pay gap and total remuneration),218
S1-17,Incidents complaints and severe human rights impacts,219
Consumers and end-users,,
S4 SBM-3,Material impacts risks and opportunities and their interaction with strategy and business model,221
S4-1,Policies related to consumers and end-users,222
S4-2,Processes for engaging with consumers and end-users about impacts,224
S4-3,Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,224
S4-4,"Taking action on material impacts on consumers and end- users and approaches to managing material risks and 
pursuing material opportunities related to consumers and end-users and effectiveness of those actions",225
S4-5,"Targets related to managing material negative impacts advancing positive impacts and managing material risks and 
opportunities",228
Business conduct,,
G1-1,Business conduct policies and corporate culture,231
G1-3,Prevention and detection of corruption and bribery,232
G1-4,Incidents of corruption or bribery,233
