0,1,2,3,4,5,6
List of datapoints in cross-cutting and topical standards that derive from other EU legislation,,,,,,
Disclosure requirement and related datapoint,SFDR reference,Pillar 3 reference,Benchmark regulation reference,"EU Climate Law 
reference","Material / 
not material","Page 
reference"
"ESRS 2 GOV-1 Board’s gender diversity paragraph 
21 (d)","Indicator number 13 of Table #1 
of Annex 1",,"Commission Delegated Regulation 
(EU) 2020/1816 ( 27 )  Annex II",,Material,24
"ESRS 2 GOV-1 Percentage of board members who 
are independent paragraph 21 (e)",,,"Delegated Regulation (EU) 
2020/1816 Annex II",,Material,24
"ESRS 2 GOV-4 Statement on due diligence 
paragraph 30","Indicator number 10 Table #3 of 
Annex 1",,,,Material,29
,,"Article 449a Regulation (EU) No 
575/2013",,,,
,,"C
ommission Implementing 
Regulation (EU) 2022/2453 ( 28 )",,,,
,,"Table 1 Qualitative information on 
Environmental risk and Table 2",,,,
"ESRS 2 SBM-1 Involvement in activities related to 
fossil fuel activities paragraph 40 (d) i","Indicators number 4 Table #1 of 
Annex 1","Qualitative information on Social 
risk","Delegated Regulation (EU) 
2020/1816 Annex II",,Not material,
"ESRS 2 SBM-1 Involvement in activities related to 
chemical production paragraph 40 (d) ii","Indicator number 9 Table #2 of 
Annex 1",,"Delegated Regulation (EU) 
2020/1816 Annex II",,Not material,
,,,"Delegated Regulation (EU) 
2020/1818 ( 29 )  Article 12(1)",,,
"ESRS 2 SBM-1 Involvement in activities related to 
controversial weapons paragraph 40 (d) iii","Indicator number 14 Table #1 of 
Annex 1",,"Delegated Regulation (EU) 
2020/1816 Annex II",,Not material,
ESRS 2 SBM-1 Involvement in activities related to,,,"Delegated Regulation (EU) 
2020/1818 Article 12(1)",,,
"cultivation and production of tobacco paragraph 40 
(d) iv",,,"Delegated Regulation (EU) 
2020/1816 Annex II",,Not material,
ESRS E1-1 Transition plan to reach climate neutrality,,,,"Regulation (EU) 
2021/1119 Article",,
by 2050 paragraph 14,,,,2(1),Material,170
,,Article 449a,,,,
,,"R
egulation (EU) No 575/2013 
Commission Implementing",,,,
,,"Regulation (EU) 2022/2453 
Template 1 Banking book-",,,,
,,"Climate Change transition risk 
Credit quality of exposures by",Delegated Regulation (EU),,,
"ESRS E1-1 Undertakings excluded from Paris-aligned 
Benchmarks paragraph 16 (g)",,"sector emissions and residual 
maturity","2020/1818 Article121 (d) to (g) 
and Article 122",,Material,160
,,"Article 449a 
Regulation (EU) No 575/2013",,,,
,,"Commission Implementing 
Regulation (EU) 2022/2453",,,,
ESRS E1-4GHG emission reduction targets paragraph,Indicator number 4 Table #2 of,"Template 3 Banking book – 
Climate change transition risk",Delegated Regulation (EU),,,
34,Annex 1,alignment metrics,2020/1818 Article 6,,Material,179
