0,1,2,3,4,5,6
Introduction,,,,,,
Who we are,ESRS-index,,,,,
ASSA ABLOY as an investment,Section,Disclosure Requirement,Section,Page,"Paragraph number  
(where relevant)",Additional Information
,General information,,,,,
Divisions overview,,"BP-1 General basis for preparation of sustainability statements
BP-2 Disclosures in relation to specific circumstances","SS
SS","65-66
65-66",,
,,"GOV-1 Role of the administrative, management and supervisory bodies",SS,66-67,,
Report of the Board of Directors,,"GOV-2 Information provided to and sustainability matters addressed by administrative, management and supervisory bodies
GOV-3 Integration of sustainability-related performance in incentive schemes","SS
SS","66-67
67",12,
Report of the Board of Directors,,GOV-4 Statement on due diligence,SS,68-70,,
Significant risks and risk management,,"GOV-5 Risk management and internal controls over sustainability reporting
SBM-1 Strategy, business model and value chain","SS
SS","67
67","1, 11
6-8",
Corporate governance,,SBM-2 Interests and views of stakeholders - general,SS,"68, 70",,
Board of Directors,ESRS 2: General disclosures,"SBM-3 Material impacts, risks and opportunities and their interaction with strategy and business model",SS,71-77,,
Executive Team,,"IRO-1 Description of process to identify and assess material impacts, risks and opportunities",SS,71-77,,
Internal control – financial reporting,,IRO-2 Disclosure Requirements in ESRS covered by sustainability statements,SS,105-109,,
Sustainability statement,,MDR-P Minimum disclosure requirement,SS,"66, 67, 80",,
General information,,MDR-A Minimum disclosure requirement,SS,"64, 71-77, 
85, 90, 91,",,
Environmental information,,,,93-104,,
Social information,,MDR-M Minimum disclosure requirement,SS,"64, 85, 90, 
91, 93-104",,
Governance information,,MDR-T Minimum disclosure requirement,SS,"64, 85, 90,",,
,,,,"91, 93-104",,
Financial statements,Environmental,E1-1 Transition plan for climate change mitigation,SS,85-89,,
,,"E1-2 Policies related to climate change mitigation and adaptation
E1-3 Actions and resources in relation to climate change policies","SS
SS","80, 85
85-89",,
,ESRS E1: Climate change,"E1-4 Targets related to climate change mitigation and adaptation
E1-5 Energy consumption and mix","SS
SS","64, 85-89
88",,
,"Climate change  
mitigation & Energy","E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions",SS,89,,
,,"E1-7 GHG removals and GHG mitigation projects financed through carbon credits
E1-8 Internal carbon pricing","SS
SS","87
87","9
8",
,,"E1-9 Anticipated financial effects from material physical and transition risks and potential climate-related opportunities
E3-1 Policies related to water and marine resources","SS
SS","71, 78
80, 90",,
,ESRS E3: Water and,"E3-2 Actions and resources related to water and marine resources
E3-3 Targets related to water and marine resources","SS
SS","64, 90
64, 91",,
,"marine resources
Water",E3-4 Water consumption,SS,91,,
,,"E3-5 Anticipated financial effects from material water and marine resources-related risks and opportunities
E5-1 Policies related to resource use and circular economy","SS
SS","72
80, 93",7,
,"ESRS E5: Resource use and  
circular economy",E5-2 Actions and resources related to resource use and circular economy,SS,"64, 93",,
,"Resource inflows, including 
resource use",E5-3 Targets related to resource use and circular economy,SS,"64, 92, 93",,
,Resource outflows related to,"E5-4 Resource inflows
E5-5 Resource outflows","SS
SS","92
93",5-7,
,"products and services
Waste","E5-6 Potential financial effects from resource use and circular economy-related impacts, risks and opportunities",SS,73,,
download,,,,,,
