0,1,2,3,4,5,6,7
Introduction,Disclosure Requirement and related datapoint,SFDR reference,Pillar 3 reference,Benchmark Regulation reference,EU Climate Law reference,Page,Additional information
Who we are,"ESRS E1-9 Breakdown of the carrying value of its real 
estate assets by energy-efficiency classes paragraph",,●,,,,Not Applicable
,"67 (c)
ESRS E1-9 Degree of exposure of the portfolio to",,,●,,"71, 73",
ASSA ABLOY as an investment,"climate- related opportunities paragraph 69
ESRS E2-4 Amount of each pollutant listed in Annex II",●,,,,,Not Applicable
,"of the E- PRTR Regulation (European Pollutant Release 
and Transfer Register) emitted to air, water and soil,",,,,,,
Divisions overview,"paragraph 28
ESRS E3-1 Water and marine resources paragraph 9",●,,,,"90, 91",
Report of the Board of Directors,ESRS E3-1 Dedicated policy paragraph 13,●,,,,80,
,ESRS E3-1 Sustainable oceans and seas paragraph 14,●,,,,90,
Report of the Board of Directors,"ESRS E3-4 Total water recycled and reused paragraph 
28 (c)",●,,,,91,
Significant risks and risk management,"ESRS E3-4 Total water consumption in m3 per net 
revenue on own operations paragraph 29",●,,,,91,
Corporate governance,ESRS 2- IRO 1 - E4 Paragraph 16 (a) i,●,,,,,Not Applicable
Board of Directors,ESRS 2- IRO 1 - E4 Paragraph 16 (b),●,,,,,Not Applicable
Executive Team,ESRS 2- IRO 1 - E4 Paragraph 16 (c),●,,,,,Not Applicable
Internal control – financial reporting,ESRS E4-2 Sustainable land / agriculture practices or,●,,,,,Not Applicable
Sustainability statement,policies paragraph 24 (b),,,,,,
General information,"ESRS E4-2 Sustainable oceans / seas practices or policies 
paragraph 24 (c)",●,,,,,Not Applicable
Environmental information,ESRS E4-2 Policies to address deforestation paragraph,●,,,,,Not Applicable
Social information,24 (d),,,,,,
Governance information,ESRS E5-5 Non-recycled waste paragraph 37 (d),●,,,,93,
,"ESRS E5-5 Hazardous waste and radioactive waste 
paragraph 39",●,,,,93,
Financial statements,"ESRS 2- SBM3 - S1 Risk of incidents of forced labour 
paragraph",●,,,,94-96,
,"ESRS 2- SBM3 - S1 Risk of incidents of child labour 
paragraph 14 (g)",●,,,,94-96,
,"ESRS S1-1 Human rights policy commitments 
paragraph 20",●,,,,94-95,
,"ESRS S1-1 Due diligence policies on issues addressed 
by the fundamental International Labor Organisation",,,●,,"80, 94, 98",
,"Conventions 1 to 8, paragraph 21
ESRS S1-1 Processes and measures for preventing",●,,,,94-95,
,"trafficking in human beings paragraph 22
ESRS S1-1 Workplace accident prevention policy or",●,,,,"80, 94",
,"management system paragraph 23
ESRS S1-3 Grievance/complaints handling mechanisms",●,,,,80,
,"paragraph 32 (c)
ESRS S1-14 Number of fatalities and number and rate of",●,,●,,97,
,work-related accidents paragraph 88 (b) and (c),,,,,,
