0,1,2,3
1 Company,"2 Combined management
3 Consolidated financial
4 Other information",,288
"Disclosure 
requirement",Title,Reference,
ESRS S4 Consumers and end-users – Privacy,,268,
"ESRS S4-ESRS 2 
SBM-2",Interests and views of stakeholders,268,
"ESRS S4-ESRS 2 
SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",268,
ESRS S4-1,Policies related to consumers and end-users,268,
ESRS S4-2,Processes for engaging with consumers and end-users about impacts,269,
ESRS S4-3,"Processes to remediate negative impacts and channels for consumers and end-users to raise 
concerns",269,
ESRS S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and",269,
,effectiveness of those actions,,
ESRS S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",269,
ESRS G1 Business conduct,,270,
"ESRS G1-ESRS 2 
GOV-1","The role of the administrative, supervisory and management bodies",270,
"ESRS G1-ESRS 2 
IRO-1","Description of the processes to identify and assess material impacts, risks and opportunities",270,
ESRS G1-1,Business conduct policies and corporate culture,270,
ESRS G1-2,Management of relationships with suppliers,272,
ESRS G1-3,Prevention and detection of corruption and bribery,273,
ESRS G1-4,Incidents of corruption or bribery,274,
ESRS G1-5,Political influence and lobbying activities,275,
ESRS G1-6,Payment practices,276,
Entity-specific information: innovation and partnerships,,277,
