0,1,2,3,4,5,6
"ESRS 2- SBM 3 - E4 
paragraph 16 (b)","Indicator 
number 10 
Table #2 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS 2- SBM 3 - E4 
paragraph 16 (c)","Indicator 
number 14 
Table #2 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS E4-2
Sustainable land / 
agriculture practices or 
policies paragraph 24 (b)","Indicator 
number 11 
Table #2 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS E4-2
Sustainable oceans / seas 
practices or policies 
paragraph 24 (c)","Indicator 
number 12 
Table #2 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS E4-2
Policies to address 
deforestation paragraph 
24 (d)","Indicator 
number 15 
Table #2 of 
Annex 1",n/a,,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS E5-5
Non-recycled waste 
paragraph 37 (d)","Indicator 
number 13 
Table #2 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS E5-5
Hazardous waste and 
radioactive waste 
paragraph 39","Indicator 
number 9 
Table #1 of 
Annex 1",n/a,n/a,n/a,"n/a - Not 
Material for 
the Group",n/a
"ESRS 2- SBM3 - S1
Risk of incidents of forced 
labour paragraph 14 (f)","Indicator 
number 13 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,87
"ESRS 2- SBM3 - S1
Risk of incidents of child 
labour paragraph 14 (g)","Indicator 
number 12 
Table #3 of 
Annex I",n/a,n/a,n/a,Yes,87
"ESRS S1-1
Human rights policy 
commitments paragraph 
20","Indicator 
number 9 
Table #3 
and 
Indicator 
number 11 
Table #1 of 
Annex I",n/a,n/a,n/a,Yes,"87, 88"
"ESRS S1-1
Due diligence policies on 
issues addressed by the 
fundamental 
International Labor 
Organisation Conventions 
1 to 8, paragraph 21",n/a,n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,88
