0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS 2- SBM 3 - E4 
paragraph 16 (b)","Indicator 
number 10",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
,"Table #2 of 
Annex 1",,,,the Group,
"ESRS 2- SBM 3 - E4 
paragraph 16 (c)","Indicator 
number 14",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
,"Table #2 of 
Annex 1",,,,the Group,
"ESRS E4-2
Sustainable land /","Indicator 
number 11",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
"agriculture practices or 
policies paragraph 24 (b)","Table #2 of 
Annex 1",,,,the Group,
"ESRS E4-2
Sustainable oceans / seas","Indicator 
number 12",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
"practices or policies 
paragraph 24 (c)","Table #2 of 
Annex 1",,,,the Group,
"ESRS E4-2
Policies to address","Indicator 
number 15",n/a,,n/a,"n/a - Not 
Material for",n/a
"deforestation paragraph 
24 (d)","Table #2 of 
Annex 1",,,,the Group,
"ESRS E5-5
Non-recycled waste","Indicator 
number 13",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
paragraph 37 (d),"Table #2 of 
Annex 1",,,,the Group,
"ESRS E5-5
Hazardous waste and","Indicator 
number 9",n/a,n/a,n/a,"n/a - Not 
Material for",n/a
"radioactive waste 
paragraph 39","Table #1 of 
Annex 1",,,,the Group,
"ESRS 2- SBM3 - S1
Risk of incidents of forced","Indicator 
number 13",n/a,n/a,n/a,Yes,87
labour paragraph 14 (f),"Table #3 of 
Annex I",,,,,
"ESRS 2- SBM3 - S1
Risk of incidents of child","Indicator 
number 12",n/a,n/a,n/a,Yes,87
labour paragraph 14 (g),"Table #3 of 
Annex I",,,,,
"ESRS S1-1
Human rights policy","Indicator 
number 9",n/a,n/a,n/a,Yes,"87, 88"
"commitments paragraph 
20","Table #3 
and",,,,,
,"Indicator 
number 11",,,,,
,"Table #1 of 
Annex I",,,,,
"ESRS S1-1
Due diligence policies on",n/a,n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,88
"issues addressed by the 
fundamental",,,,,,
"International Labor 
Organisation Conventions",,,,,,
"1 to 8, paragraph 21",,,,,,
