0,1,2,3,4
Group and Shareholders,"Corporate Governance
Management Report
Consolidated Financial Statements",Information,,
Disclosure Requirement,,,Page,
E1-3,Actions and resources in relation to climate change policies,,,107
E1-4,Targets related to climate change mitigation and adaptation,,,109
E1-5,Energy consumption and mix,,,110
E1-6,"Gross Scope 1, 2, 3 and Total GHG emissions",,,112
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,,,117
E1-8,Internal carbon pricing,,,118
"E2 Disclosure  
related to ESRS 2",,,,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,,119
E2-1,Policies related to pollution,,,119
E2-2,Actions and resources related to pollution,,,119
E2-3,Targets related to pollution,,,120
"E5 Disclosure  
related to ESRS 2",,,,
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,,121
E5-1,Policies related to resource use and circular economy,,,121
E5-2,Actions and resources related to resource use and circular economy,,,122
E5-3,Targets related to resource use and circular economy,,,123
4.3 Social information,,,,123
"S1 Disclosure  
Requirement related",,,,
to ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,,123
S1-1,Policies related to own workforce,,,124
S1-2,Processes for engaging with own workforce and workers’ representatives about impacts,,,133
S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns,,,134
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material risks and  
pursuing material opportunities related to own workforce, and effectiveness of those actions",,,136
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material  
risks and opportunities",,,143
S1-6,Characteristics of the undertaking’s employees,,,145
S1-7,Characteristics of non-employees in the undertaking’s own workforce,,,148
S1-8,Collective bargaining coverage and social dialogue,,,148
S1-9,Diversity metrics,,,149
S1-10,Adequate wages,,,149
S1-11,Social protection,,,150
S1-12,Persons with disabilities,,,150
S1-13,Training and skills development metrics,,,150
S1-14,Health and safety metrics,,,151
S1-15,Work-life balance metrics,,,153
S1-16,Remuneration metrics (pay gap and total remuneration),,,153
S1-17,"Incidents, complaints and severe human rights impacts",,,154
