0,1,2,3,4,5
234,"BMW Group Report 2024 
 
To Our Stakeholders","Combined Management Report 
 
Group Financial Statements 
 
Responsibility Statement and Auditor’s Report",Remuneration Report,Other Information,
,,Sustainability Statement,,,
L I S T   O F   P H A S E D - I N   D I S C L O S U R E   R E Q U I R E M E N T S,,,,,
ESRS,Disclosure Requirement,Full name of the Disclosure Requirement,,,Complete/ partial use
ESRS 2,SBM-1 paragraph 40b,Breakdown of total revenue by significant ESRS sector,,,Complete use
ESRS 2,SBM-1 paragraph 40c,List of additional significant ESRS sectors,,,Complete use
ESRS 2,SBM-1 paragraph 40e,Anticipated financial effects,,,Complete use
ESRS E1,E1-9,Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,,,Complete use
ESRS E2,E2-6,"Anticipated financial effects from pollution-related impacts, risks and opportunities",,,Complete use
ESRS E3,E3-5,"Anticipated financial effects from water and marine resources-related impacts, risks and opportunities",,,Complete use
ESRS E4,E4-6,"Anticipated financial effects from biodiversity and ecosystem-related impacts, risks and opportunities",,,Complete use
ESRS E5,E5-6,"Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities",,,Complete use
ESRS S1,S1-7,Characteristics of nonemployee workers in the undertaking’s own workforce,,,"Complete phase-in for KPI, qualitative"
,,,,,information as early as reporting year 2024.
ESRS S1,S1-11,Social protection,,,Complete use
ESRS S1,S1-13,Training and skills development,,,Partial use for “breakdown by gender”
ESRS S1,S1-14,Health and safety,,,"Partial use for “Work-related illnesses and the 
number of days lost due to work-related"
,,,,,"accidents and due to work-related fatalities,"
,,,,,injuries and illnesses”
