0,1,2,3,4,5,6,7,8
Disclosure,Datapoint,Paragraph,SFDR,Pillar 3 reference,"Benchmark 
 
Regulation","EU Climate 
 
Law",Materiality,Page
requirement,,,reference,,reference,reference,,
,"GHG 
removals and",paragraph,,,,"Regulation 
(EU)",,
E1-7,carbon,56,,,,"2021/1119,",material,
,credits,,,,,Article 2(1),,
,,,,,"Delegated 
Regulation",,,
,"Exposure of 
the",,,,(EU),,,
,benchmark,paragraph,,,"2020/1818, 
Annex II",,,
E1-9,"portfolio to 
 
climate-",66,,,Delegated,,not material,
,related,,,,"Regulation 
(EU)",,,
,physical risks,,,,"2020/1816,",,,
,,,,,Annex II,,,
,,,,"Article 449a 
Regulation (EU) No",,,,
,Disaggre-,,,"575/2013; Commis-
sion Implementing",,,,
,"gation of 
monetary",,,"Regulation (EU) 
2022/2453",,,,
E1-9,amounts by,"paragraph 
66 (a)",,paragraphs 46 and,,,not material,
,"acute and 
chronic",,,"47; Template 5: 
Banking book -",,,,
,physical risk,,,"Climate change 
physical risk:",,,,
,,,,"Exposures subject 
to physical risk.",,,,
,,,,"Article 449a 
Regulation (EU) No",,,,
,,,,"575/2013; Commis-
sion Implementing",,,,
,"Location of 
significant",,,"Regulation (EU) 
2022/2453",,,,
E1-9,assets at,"paragraph 
66 (c)",,paragraphs 46 and,,,not material,
,"material 
physical risk",,,"47; Template 5: 
Banking book -",,,,
,,,,"Climate change 
physical risk:",,,,
,,,,"Exposures subject 
to physical risk.",,,,
,,,,"Article 449a 
Regulation (EU) No",,,,
,,,,"575/2013; Commis-
sion Implementing",,,,
,"Breakdown of 
the carrying",,,Regulation (EU),,,,
,value of its,,,"2022/2453 
paragraph 34;",,,,
E1-9,"real estate 
 
 
assets by","paragraph 
67 (c)",,Template 2:Banking,,,not material,
,energy-,,,"book -Climate 
change transition",,,,
,"efficiency 
classes",,,risk: Loans,,,,
,,,,"collateralised by 
immovable property",,,,
,,,,"- Energy efficiency 
of the collateral",,,,
,"Degree of 
exposure of",,,,Delegated,,,
E1-9,the portfolio,paragraph,,,"Regulation 
 
(EU)",,not material,
,"to climate-
related",69,,,"2020/1818,",,,
,opportunities,,,,Annex II,,,
E2,,,,,,,,
,,,"Indicator 
number 8",,,,,
,"Amount of 
each pollutant",,Table 1 of,,,,,
,listed in,,"Annex 1 
Indicator",,,,,
,"Annex II of 
the E-PRTR",,number 2,,,,,
,Regulation,paragraph,"Table 2 of 
Annex 1",,,,,
E2-4,"(European 
 
Pollutant",28,Indicator,,,,not material,132
,Release and,,"number 1 
Table 2 of",,,,,
,"Transfer 
Register)",,Annex 1,,,,,
,"emitted to air,",,"Indicator 
number 3",,,,,
,water and soil,,Table 2 of,,,,,
,,,Annex 1,,,,,
