0,1,2,3
E4-2,Sustainable land / agriculture practices or,,
,policies paragraph 24 (b),239,X
E4-2,Sustainable oceans / seas practices or,,
,policies paragraph 24 (c),239,X
E4-3,Actions and resources related to biodiversity,249-253,
,and ecosystems,,
E4-4,Targets related to biodiversity and,253-254,
,ecosystems,,
E4-5,Impact metrics related to biodiversity and,253-254,
,ecosystems change,,
E5-1,Policies related to resource use and circular,257,
,economy,,
E5-2,Actions and resources related to resource use,257-258,
,and circular economy,,
E5-3,Targets related to resource use and circular,258-259,
,economy,,
E5-4,Resource inflows,259-261,
E5-5,Resource outflows,261-262,
E5-5,Non-recycled waste paragraph 37 (d),262,X
E5-5,Hazardous waste and radioactive waste,,
,paragraph 39,262,X
2- SBM3,Risk of incidents of forced labour paragraph,,
,14 (f),277-280,X
2- SBM3,Risk of incidents of child labour paragraph 14,,
,(g),277-280,X
S1-1,S1-1 – Policies related to own workforce,281-285,
S1-1,Human rights policy commitments paragraph,,
,20,286,X
,Due diligence policies on issues addressed by,,
S1-1,the fundamental International Labor,,
,"Organisation Conventions 1 to 8, paragraph",,
,21,286,X
S1-1,processes and measures for preventing,,
,trafficking in human beings’ paragraph 22,286-287,X
S1-1,workplace accident prevention policy or,,
,management system paragraph 23,286-288,X
S1-2,Processes for engaging with own workforce,290,
,and workers’ representatives about impacts,,
S1-3,Processes to remediate negative impacts and,294-295,
,channels for own workforce to raise concerns,,
S1-3,Grievance/complaints handling mechanisms,,
,paragraph 32 (c),294-295,X
,Taking action on material impacts on own,,
,"workforce, and approaches to managing",,
S1-4,material risks and pursuing material,295-296,
,"opportunities related to own workforce, and",,
,effectiveness of those actions,,
,Targets related to managing material negative,,
S1-5,"impacts, advancing positive impacts, and",296-297,
,managing material risks and opportunities,,
S1-6,Characteristics of the undertaking’s,297-300,
,employees,,
S1-7,Characteristics of non-employees in the,300,
,undertaking’s own workforce,,
