0,1,2,3,4
S4-5,"Targets related to managing material negative 
impacts, advancing positive impacts, and 
managing material risks and opportunities",330,,
2 GOV-1,"The role of the administrative, supervisory 
and management bodies",331,,
2 IRO-1,"Description of the processes to identify and 
assess material impacts, risks and 
opportunities",331,,
G1-1,"Business conduct policies and corporate 
culture",331-333,,
G1-1,"United Nations Convention against Corruption 
paragraph 10 (b)",331-333,,X
G1-1,"Protection of whistle- blowers paragraph 10 
(d)",331-333,,X
G1-3,"Prevention and detection of corruption and 
bribery",333-335,,
G1-4,Incidents of corruption or bribery,335-336,,
G1-4,"Fines for violation of anti-corruption and anti-
bribery laws paragraph 24 (a)",335-336,,X
G1-4,"Standards of anti- corruption and anti- bribery 
paragraph 24 (b)",335-336,,X
