0,1,2
"ESRS 
Code",ESRS Description,Reason for exclusion
E1-7,"GHG removals and GHG mitigation projects financed through carbon 
credits","Not  applicable,  because  the  Group 
is not working with carbon credits"
E1-9,"Anticipated financial effects from material physical and transition risks 
and potential climate-related opportunities",Phase-in option
E2-6,"Anticipated financial effects from pollution-related impacts, risks",Phase-in option
E2-5,Substances of concern and substances of very high concern,Not material
E3-5,"Anticipated financial  effects from water and marine resources-related 
impacts, risks and opportunities",Phase-in option
E4-6,"Anticipated  financial  effects  from  biodiversity  and  ecosystem-related 
impacts, risks and opportunities",Phase-in option
E5-6,"Anticipated financial effects from resource use and circular economy-
related impacts, risks and opportunities",Phase-in option
G1-2,Management of relationships with suppliers,Not material
G1-5,Political influence and lobbying activities,Not material
G1-6,Payment practices,Not material
