0,1,2,3,4
,Targets related to managing material negative,,,
S4-5,"impacts, advancing positive impacts, and",330,,
,managing material risks and opportunities,,,
2 GOV-1,"The role of the administrative, supervisory",331,,
,and management bodies,,,
,Description of the processes to identify and,,,
2 IRO-1,"assess material impacts, risks and",331,,
,opportunities,,,
G1-1,Business conduct policies and corporate,331-333,,
,culture,,,
G1-1,United Nations Convention against Corruption,,,
,paragraph 10 (b),331-333,,X
G1-1,Protection of whistle- blowers paragraph 10,,,
,(d),331-333,X,
G1-3,Prevention and detection of corruption and,333-335,,
,bribery,,,
G1-4,Incidents of corruption or bribery,335-336,,
G1-4,Fines for violation of anti-corruption and anti-,,,
,bribery laws paragraph 24 (a),335-336,X,
G1-4,Standards of anti- corruption and anti- bribery,,,
,paragraph 24 (b),335-336,X,
