0,1,2,3
"inclusion of people with disabilities, seniors), leading to fair treatment of employees and increased opportunities"" impact covers all
diversity and inclusion matters (gender, disability, etc.).",,,
ESRS,"DR
Category",Description,"Page
number"
ESRS 2,"BP-1
Basis for preparation (BP)",General basis for preparation of sustainability statements,42
GENERAL,"BP-2
Basis for preparation (BP)",Disclosures in relation to specific circumstances,43
DISCLOSURES,"GOV-1
Governance","The role of the administrative, management and supervisory",45
,,bodies,
,GOV-2 Governance,"Information provided to and sustainability matters addressed 
by the undertaking's administrative, management and",49
,,supervisory bodies,
,GOV-3 Governance,"Integration of sustainability-related performance in incentive 
schemes",50
,GOV-4 Governance,Statement on due diligence,50
,GOV-5 Governance,"Risk management and internal controls over sustainability 
reporting",52
,"SBM-1
Strategy","Strategy, business model and value chain",54
,SBM-2 Strategy,Interests and views of stakeholders,58
,SBM-3 Strategy,"Material impacts, risks and opportunities and their interaction 
with strategy and business model",60
,"IRO-1
Impact, risk and 
opportunity management","Description of the processes to identify and assess material 
impacts, risks and opportunities",66
,"IRO-2
Impact, risk and 
opportunity management","Disclosure requirements in ESRS covered by the undertaking’s 
sustainability statement",68
ESRS E1,ESRS E1 Climate change,,
CLIMATE CHANGE,"IRO-1
Impact, risk and",Description of the processes to identify and assess material,66
,opportunity management,"climate change-related impacts, risks and opportunities",
,GOV-3 Governance,"Integration of sustainability-related performance in incentive 
schemes",50
,"E1-1
Strategy",Transition plan for climate change mitigation,70
,"E1-2
Impact, risk and 
opportunity management",Policies related to climate change mitigation and adaptation,67
,"E1-3
Impact, risk and 
opportunity management",Actions and resources in relation to climate change policies,67
,"E1-4
Metrics and targets",Targets related to climate change mitigation and adaptation,70
,"E1-5
Metrics and targets",Energy consumption and mix,88
,"E1-6
Metrics and targets","Gross Scopes 1, 2, 3 and Total GHG emissions",89
,"E1-7
Metrics and targets","GHG removals and GHG mitigation projects financed through 
carbon credits",91
,"E1-8
Metrics and targets",Internal carbon price,92
,"E1-9
Metrics and targets","Anticipated financial effects from material physical and 
transition risks and potential climate-related opportunities",N/A
