0,1,2,3,4
,"2024 Sustainability Statement
Appendix",,,
,,Appendix C – Cross-reference table with the ESRS,,
,,"A list of ESRS disclosure requirements that have been complied with in preparing this Sustainability Statement following the outcome 
of our double materiality assessment can be found in the table below.",,
,ESRS,Disclosure Requirement,Paragraph(s),Page(s)
,"ESRS 2 – 
General","BP-1 General basis for preparation of 
sustainability statements",4.1.7.1 General basis for preparation,180-182
,disclosures,BP-2 – Disclosures in relation to specific,4.1.7.1 General basis for preparation,180-182
,,circumstances,4.1.7.2 Reporting frameworks and standards,182
,,"GOV-1 – The role of the administrative, 
management and supervisory bodies","4.1.6.1 The role of governance bodies 
regarding sustainability",163-171
,,,"4.11.2 Governance bodies and business 
conduct management",318
,,"GOV-2 – Information provided to and 
sustainability matters addressed by the","4.1.6.2 Governance processes to effectively 
address our sustainability matters",172
,,"undertaking’s administrative, management 
and supervisory bodies",,
,,"GOV-3 – Integration of sustainability-related 
performance in incentive schemes","4.1.6.3 Incentives and remunerations linked to 
sustainability matters",173
1,,,"4.3.2 Our governance dedicated to climate 
change",193-195
2,,GOV-4 – Statement on due diligence,4.1.6.4 Due diligence process and Duty of Care,174-179
,,"GOV-5 – Risk management and internal 
controls over sustainability reporting","4.1.6.5 Risk management and internal control 
over sustainability reporting",180
3,,"SBM-1 – Strategy, business model and value",4.1.1 A sustainability ambition embedded into,
,,chain,our strategy and value creation model,138-151
4,,SBM-2 – Interests and views of stakeholders,"4.1.2 Engagement with value chain 
stakeholders",151-153
5,,"SBM-3 – Material impacts, risks and 
opportunities and their interaction with","4.1.3 Material sustainability matters and their 
interactions with our strategy",153-157
,,strategy and business model,"4.3.1.2 Resilience of our business model
4.7.1.1 General overview of Human Capital",191-193
6,,,strategy,240-241
,,,"4.8.1.2 Interactions between supply chain 
workers and material impacts",294
7,,,4.9.2.1 Communities we reach through digital,
,,,"inclusion and socio-economic development
4.10.2.1 Interactions between end-users and",297
8,,,material impacts and risks,303-304
,,"IRO-1 – Description of the processes to 
identify and assess material impacts, risks and","4.1.4 Insights on our materiality assessment 
methodology",157-161
9,,opportunities,4.1.5.1 Conducting information materiality,
,,,analysis,161-163
,,"IRO-2 – Disclosure requirements in ESRS 
covered by the undertaking’s sustainability","4.1.5 Translating materiality results into 
sustainability reporting",161-163
,,statement,,
,"ESRS E1 – 
Climate","Disclosure requirement related to ESRS 
2 GOV-3 Integration of sustainability-related","4.3.2 Our governance dedicated to climate 
change",193-195
,Change,performance in incentive schemes,,
,,"E1-1 – Transition plan for climate change 
mitigation","4.3.3.1 Our road to Net Zero: strategy and 
transition plan for climate change mitigation",195-201
,,"Disclosure Requirement related to ESRS 
2 SBM-3 – Material impacts, risks and",4.3.1.2 Resilience of our business model,191-193
