0,1,2,3
,,"2024 Sustainability Statement
Appendix",
ESRS,Disclosure Requirement,"Paragraph(s)
Page(s)",
,"S2-5 – Targets related to managing material 
negative impacts, advancing positive impacts,","4.8.6 Targets and metrics related to human 
rights protection in our supply chain
296",
,and managing material risks and opportunities,,
"ESRS S3 – 
Affected","Disclosure Requirement related to ESRS 
2 SBM-2 – Interests and views of stakeholders","4.1.2 Engagement with value chain 
stakeholders
151-153",
communities,,,
,"Disclosure Requirement related to ESRS 
2 SBM-3 – Material impacts, risks and","4.9.2.1 Communities we reach through digital 
inclusion and socio-economic development
297",
,"opportunities and their interaction with 
strategy and business model",,
,S3-1 – Policies related to affected communities,"4.9.3 Policies supporting digital inclusion of 
our local communities
298-299",
,"S3-2 – Processes for engaging with affected 
communities about impacts","4.9.4 Processes for engaging with local 
communities on digital inclusion
299-300",
,"S3-4 – Taking action on material impacts 
on affected communities, and approaches","4.9.5 Actions supporting digital inclusion of 
our local communities
300-302",
,"to managing material risks and pursuing 
material opportunities related to affected",,
,"communities, and effectiveness of those 
actions",,
,S3-5 – Targets related to managing material,4.9.6 Targets and metrics to guide our positive,1
,"negative impacts, advancing positive impacts,","impact on digital inclusion
302-303",
,and managing material risks and opportunities,,2
"ESRS S4 – 
Consumers","Disclosure Requirement related to ESRS 
2 SBM-2 – Interests and views of stakeholders","4.1.2 Engagement with value chain 
stakeholders
151-153",
and end-users,Disclosure Requirement related to ESRS,4.10.2.1 Interactions between end-users and,3
,"2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with","material impacts and risks
303-304",
,strategy and business model,,4
,"S4-1 – Policies related to consumers and 
end-users","4.10.2.2 Overview of the policies for end-users 
 
protection: cybersecurity, data protection,",5
,,"and ethical technology and AI 
304-305
4.10.5.1 Policies to protect and secure data
306-310",
,,4.10.6.1 Policies related to the ethical use of,6
,,"technology (including AI)
315",
,"S4-2 – Processes for engaging with consumers 
and end-users about impacts","4.10.3 Processes for engaging with end-users 
on cybersecurity, data protection, and ethical",7
,,"technology and AI
305",
,S4-3 – Processes to remediate negative,4.10.4 Processes related to remediation of,8
,"impacts and channels for consumers and 
end-users to raise concerns","negative impacts and channels for end-users 
to raise concerns
305",
,S4-4 – Taking action on material impacts on,"4.10.5.2 Actions to protect and secure data
310-311",9
,"consumers and end-users, and approaches to 
managing material risks and pursuing material","4.10.6.2 Actions related to ethical use of 
technology (including AI)
316",
,"opportunities related to consumers and 
end-users, and effectiveness of those actions",,
,"S4-5 – Targets related to managing material 
negative impacts, advancing positive impacts,","4.10.5.3 Targets to protect and secure data
311-313
4.10.6.3 Targets related to ethical use of",
,and managing material risks and opportunities,"technology (including AI)
316",
"ESRS G1 – 
Business","Disclosure Requirement related to ESRS 
2 GOV-1 – The role of the administrative,","4.11.2 Governance bodies and business 
conduct management
318",
Conduct,supervisory and management bodies,,
