0,1,2,3,4
"General Disclosures
ESRS 2",,,,
Disclosure requirement,,Reference (chapter),"Mandatory (M) / 
Voluntary (V)  
disclosure",Page
BP-1,"General basis for preparation of 
sustainability statements",Introduction,M,50
BP-2,"Disclosures in relation to specific 
circumstances","Business model and value chain
Sustainability Governance
Double materiality assessment
Climate change and energy",M,"54, 
56, 61, 
76"
GOV-1,"The role of the administrative, 
management and supervisory bodies",Sustainability governance,M,56
GOV-2,"Information provided to and 
sustainability matters addressed by 
the undertaking’s administrative, 
management and supervisory bodies",Double materiality assessment,M,61
GOV-3,"Integration of sustainability-related 
performance in incentive schemes","Sustainability governance
Climate change and energy",M,"56, 71"
GOV-4,Statement on due diligence,Due Diligence,M,58
GOV-5,"Risk management and internal controls 
over sustainability reporting",Sustainability governance,M,56
SBM-1,"Strategy, business model and value 
chain","Business model and value chain
Sustainability strategy
Human and labor rights
Responsible sourcing",M,"54, 
55, 
115, 
132"
SBM-2,Interests and views of stakeholders,"Stakeholder engagement
Double materiality assessment
Human and labor rights",M,"59, 61, 
115"
SBM-3,"Material impacts, risks and 
opportunities","Double materiality assessment
Climate change and energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"61, 71, 
91, 115, 
122, 
130, 
132"
,,Water and wastewater management,V,88
IRO-1,"Description of the processes to 
identify and assess material impacts, 
risks and opportunities","Double materiality assessment
Climate change and energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"61, 71, 
91, 115, 
122, 
130, 
132"
,,Water and wastewater management,V,88
