0,1,2,3
General Disclosures,,,
ESRS 2,,,
Disclosure requirement,Reference (chapter),"Mandatory (M) / 
Voluntary (V)",Page
,,disclosure,
"General basis for preparation of 
BP-1
sustainability statements",Introduction,M,50
Disclosures in relation to specific,"Business model and value chain
Sustainability Governance",,"54,"
"BP-2
circumstances",Double materiality assessment,M,"56, 61, 
76"
,Climate change and energy,,
"The role of the administrative, 
GOV-1
management and supervisory bodies",Sustainability governance,M,56
"Information provided to and 
sustainability matters addressed by",,,
"GOV-2
the undertaking’s administrative,",Double materiality assessment,M,61
management and supervisory bodies,,,
"Integration of sustainability-related 
GOV-3
performance in incentive schemes","Sustainability governance
Climate change and energy",M,"56, 71"
"GOV-4
Statement on due diligence",Due Diligence,M,58
"Risk management and internal controls 
GOV-5
over sustainability reporting",Sustainability governance,M,56
"Strategy, business model and value","Business model and value chain
Sustainability strategy",,"54, 
55,"
"SBM-1
chain",Human and labor rights,M,"115,"
,Responsible sourcing,,132
"SBM-2
Interests and views of stakeholders","Stakeholder engagement
Double materiality assessment",M,"59, 61,"
,Human and labor rights,,115
,"Double materiality assessment
Climate change and energy",,"61, 71,"
,"Resource use and circular economy
Human and labor rights",M,"91, 115, 
122,"
"Material impacts, risks and 
SBM-3
opportunities",Occupational health and safety,,"130,"
,"Employee training and development
Responsible sourcing",,132
,Water and wastewater management,V,88
,"Double materiality assessment
Climate change and energy",,"61, 71,"
Description of the processes to,"Resource use and circular economy
Human and labor rights",M,"91, 115, 
122,"
"IRO-1
identify and assess material impacts, 
risks and opportunities",Occupational health and safety,,"130,"
,"Employee training and development
Responsible sourcing",,132
,Water and wastewater management,V,88
