0,1,2,3,4
"General Disclosures
ESRS 2",,,,
Disclosure requirement,,Reference (chapter),"Mandatory (M) / 
Voluntary (V)  
disclosure",Page
IRO-2,"Disclosure requirements in ESRS 
covered by the undertaking’s 
sustainability statement",Double materiality assessment,M,"61, 138"
MDR-P,"Policies adopted to manage material 
sustainability matters","Climate change and Energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"71, 91, 
115, 
122, 
130, 
132"
,,Water and wastewater management,V,88
MDR-A,"Actions and resources in relation to 
material sustainability matters","Climate change and Energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"72, 
92, 
118, 
124, 
130, 
133"
,,Water and wastewater management,V,89
MDR-M,"Metrics in relation to material 
sustainability matters","Climate change and Energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"76, 
92, 
118, 
126, 
131, 
133"
,,Water and wastewater management,V,89
MDR-T,"Tracking effectiveness of policies and 
actions through targets","Climate change and Energy
Resource use and circular economy
Human and labor rights
Occupational health and safety
Employee training and development
Responsible sourcing",M,"72,  
92, 
118, 
124, 
130, 
133"
,,Water and wastewater management,V,89
