0,1,2,3
"Disclosure Requirement and related 
datapoint","SFDR31 
reference","Pillar 332
reference",
"ESRS 2 GOV-1
Board's gender diversity paragraph 21 (d)","Indicator number 13 of Table 
#1 of Annex 1",,
"ESRS 2 GOV-1
Percentage of board members who are 
independent paragraph 21 (e)",,,
"ESRS 2 GOV-4
Statement on due diligence paragraph 30","Indicator number 10 Table #3 
of Annex 1",,
"ESRS 2 SBM-1
Involvement in activities related to fossil 
fuel activities paragraph 40 (d) i","Indicators number 4 Table #1 
of Annex 1","Article 449a Regulation (EU) 
No 575/2013;
Commission Implementing Regulation 
(EU) 2022/2453 ( 28 ) Table 
1: Qualitative information on 
Environmental risk and Table 2: 
Qualitative information on Social risk",
"ESRS 2 SBM-1
Involvement in activities related to 
chemical production paragraph 40 (d) ii","Indicator number 9 Table #2 
of Annex 1",,
"ESRS 2 SBM-1
Involvement in activities related to 
controversial weapons paragraph 40 (d) iii","Indicator number 14 Table #1 
of Annex 1",,
"ESRS 2 SBM-1
Involvement in activities related to 
cultivation and production of tobacco 
paragraph 40 (d) iv",,,
"ESRS E1-1
Transition plan to reach climate neutrality 
by 2050 paragraph 14",,,
"ESRS E1-1
Undertakings excluded from Paris-
aligned Benchmarks paragraph 16 (g)",,"Article 449a
Regulation (EU) No 575/2013; 
Commission Implementing Regulation 
(EU) 2022/2453 Template 1: Banking 
book-Climate Change transition risk: 
Credit quality of exposures by sector, 
emissions and residual maturity",
