0,1,2
from other EU legislation,,
Disclosure Requirement and related,SFDR31,Pillar 332
datapoint,reference,reference
ESRS 2 GOV-1,Indicator number 13 of Table,
Board's gender diversity paragraph 21 (d),#1 of Annex 1,
ESRS 2 GOV-1,,
Percentage of board members who are,,
independent paragraph 21 (e),,
ESRS 2 GOV-4,Indicator number 10 Table #3,
Statement on due diligence paragraph 30,of Annex 1,
ESRS 2 SBM-1,Indicators number 4 Table #1,Article 449a Regulation (EU)
Involvement in activities related to fossil,of Annex 1,No 575/2013;
fuel activities paragraph 40 (d) i,,Commission Implementing Regulation
,,(EU) 2022/2453 ( 28 ) Table
,,1: Qualitative information on
,,Environmental risk and Table 2:
,,Qualitative information on Social risk
ESRS 2 SBM-1,Indicator number 9 Table #2,
Involvement in activities related to,of Annex 1,
chemical production paragraph 40 (d) ii,,
ESRS 2 SBM-1,Indicator number 14 Table #1,
Involvement in activities related to,of Annex 1,
controversial weapons paragraph 40 (d) iii,,
ESRS 2 SBM-1,,
Involvement in activities related to,,
cultivation and production of tobacco,,
paragraph 40 (d) iv,,
ESRS E1-1,,
Transition plan to reach climate neutrality,,
by 2050 paragraph 14,,
ESRS E1-1,,Article 449a
Undertakings excluded from Paris-,,Regulation (EU) No 575/2013;
aligned Benchmarks paragraph 16 (g),,Commission Implementing Regulation
,,(EU) 2022/2453 Template 1: Banking
