0,1,2,3,4,5
"(according to ESRS 2, Appendix B)",,,,,
"Disclosure requirement and 
related datapoint","SFDR 
reference",Pillar 3 reference,"Benchmark Regulation 
reference","EU Climate Law 
reference",Page number
ESRS 2 GOV‐1,"Indicator number 
13 Table #1 of",,"Commission Delegated 
Regulation (EU) 2020/1816,",,50
"Board’s gender diversity, 
paragraph 21 (d)",Annex 1,,Annex II,,
ESRS 2 GOV‐1,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,50
"Percentage of board members who 
are independent,",,,,,
paragraph 21 (e),,,,,
ESRS 2 GOV‐4,"Indicator number 
10 Table #3 of",,,,58
"Statement on due diligence, 
paragraph 30",Annex 1,,,,
ESRS 2 SBM‐1,"Indicator number 
4 Table #1",Article 449a Regulation (EU) No 575/2013:,"Delegated Regulation (EU) 
2020/1816, Annex II",,"Not 
applicable"
"Involvement in activities related to 
fossil fuel activities,",of Annex 1,"Commission Implementing Regulation 
(EU) 2022/2453, Table 1: Qualitative",,,according to
paragraph 40 (d) i,,information on Environmental risk and,,,EFRAG Q&A
,,"Table 2: Qualitative information on Social 
risk",,,
ESRS 2 SBM‐1,"Indicator number 
9",,"Delegated Regulation (EU) 
2020/1816, Annex II",,"Not 
applicable"
"Involvement in activities related to 
chemical production,",Table #2 of Annex,,,,according to
paragraph. 40 (d) ii,1,,,,EFRAG Q&A
