0,1,2,3
Disclosure requirement,Comments,,Page number
"Policies related to consumers and end-users 
S4-1",,,139
"Processes for engaging with consumers and end-users about impacts 
S4-2",,,140
"Processes to remediate negative impacts and channels for consumers and end-users 
S4-3 
to raise concerns",,,140
"Taking action on material impacts on consumers and end- users, and approaches to 
S4-4 
managing material risks and pursuing material opportunities related to consumers",,,141
"and end-users, and effectiveness of those actions",,,
"Targets related to managing material negative impacts, advancing positive impacts, 
S4-5 
and managing material risks and opportunities",,,142
"Entity-specific disclosure: Product responsibility 
ESD",,,142
"Entity-specific disclosure: Customer satisfaction 
ESD",,,143
"Entity-specific disclosure: Customer service and customer proximity 
ESD",,,144
"Entity-specific disclosure: Protection against over-indebtedness 
ESD",,,145
"Entity-specific disclosure: Access to banking products for people with physical and 
ESD 
cognitive impairments",,,146
"Entity-specific disclosure: Data protection 
ESD",,,147
Governance disclosures,,,
"Business conduct policies and corporate culture 
G1-1",,,149
"Prevention and detection of corruption and bribery 
G1-3",,,151
"Incidents and actions related to corruption or bribery 
G1-4",,,153
"Entity-specific disclosure: Prevention of money laundering and terrorist financing 
ESD",,,154
"Entity-specific disclosure: Tax transparency  
ESD",,,156
List of datapoints in cross-cutting and topical standards that derive from other EU legislation,,,
"(according to ESRS 2, Appendix B)",,,
"Disclosure requirement and 
SFDR 
Pillar 3 reference 
related datapoint 
reference","Benchmark Regulation 
reference","EU Climate Law 
reference",Page number
"Indicator number 
  
ESRS 2 GOV‐1 
13 Table #1 of","Commission Delegated 
Regulation (EU) 2020/1816,",,50
"Board’s gender diversity, 
Annex II 
Annex 1 
paragraph 21 (d)",,,
ESRS 2 GOV‐1,"Delegated Regulation (EU) 
2020/1816, Annex II",,50
"Percentage of board members who 
are independent,",,,
paragraph 21 (e),,,
"ESRS 2 GOV‐4 
Indicator number 
10 Table #3 of",,,58
"Statement on due diligence, 
Annex 1 
paragraph 30",,,
"Indicator number 
Article 449a Regulation (EU) No 575/2013: 
ESRS 2 SBM‐1 
4 Table #1","Delegated Regulation (EU) 
2020/1816, Annex II",,"Not 
applicable"
"Commission Implementing Regulation 
Involvement in activities related to 
of Annex 1 
(EU) 2022/2453, Table 1: Qualitative 
fossil fuel activities,",,,according to
"information on Environmental risk and 
paragraph 40 (d) i",,,EFRAG Q&A
"Table 2: Qualitative information on Social 
risk",,,
"ESRS 2 SBM‐1 
Indicator number 
 
9","Delegated Regulation (EU) 
2020/1816, Annex II",,"Not 
applicable"
"Involvement in activities related to 
Table #2 of Annex 
chemical production,",,,according to
"1 
paragraph. 40 (d) ii",,,EFRAG Q&A
