0,1
Fundamental elements of due diligence,Paragraphs in the Sustainability Statement
Monitor the effectiveness of the,E1-5 Energy consumption and mix
measures and communicate,"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions"
,"E2-4 Pollution of air, water and soil"
,E2-5 Substances of concern and substances of very high concern
,E3-4 Water consumption
,E4-5 Impact metrics related to biodiversity and ecosystems change
,E5-4 Resource inflows
,E5-5 Resource outflows
,S1-6 Characteristics of the undertaking’s employees
,S1-7 Characteristics of non-employee workers in the undertaking’s own workforce
,S1-9 Diversity metrics
,S1-10 Adequate wages
,S1-12 Persons with disabilities
,S1-13 Training and skills development metrics
,S1-14 Health and safety metrics
,S1-15 Work-life balance
,S1-16 Compensation metrics
,"S1-17 Incidents, complaints and severe human rights impacts"
,G1-4 Confirmed incidents of corruption or bribery
