0,1,2,3,4,5
,CAPITAL MARKET                                                MANAGEMENT REPORT                                                 COMPENSATION REPORT                                            FINANCIAL STATEMENTS                                       FURTHER INFORMATION,,,,
"Disclosure 
requirement",Disclosure requirement title,"Section in Group Sustainability 
Statement","Disclosure 
requirement",Disclosure requirement title,"Section in Group Sustainability 
Statement"
ESRS E2 – Pollution,,,ESRS E4 – Biodiversity and ecosystems,,
ESRS 2 IRO-1,"Description of the processes to identify and 
assess material pollution-related impacts,","Impact, Risk and Opportunity 
Management – Methods and","ESRS 2 
SBM-3","Material impacts, risks and opportunities and 
their interaction with strategy and business","ESRS E4: Biodiversity and 
ecosystems – Impacts, Risks, and"
,risks and opportunities,Assumptions Relating to Pollution,,model,Opportunities
E2-1,Policies related to pollution,"ESRS E2: Pollution – Policies and 
Actions",ESRS 2 IRO-1,"Description of processes to identify and 
assess material biodiversity and ecosystem-","Impact, Risk and Opportunity 
Management –  Methods and"
E2-2,Actions and resources related to pollution,ESRS E2: Pollution – Policies and,,"related impacts, risks and opportunities","Assumptions Relating to Biodiversity 
and Ecosystems"
,,Actions,E4-2,Policies related to biodiversity and,ESRS E4: Biodiversity and
E2-3,Targets related to pollution,ESRS E2: Pollution – Targets,,ecosystems,Ecosystems – Policies and Actions
E2-4,"Pollution of air, water and soil",ESRS E2: Pollution – Metrics,E4-3,Actions and resources related to biodiversity,ESRS E4: Biodiversity and
E2-5,"Substances of concern and substances of 
very high concern",ESRS E2: Pollution – Metrics,,and ecosystems,Ecosystems – Policies and Actions
E2-6,Anticipated financial effects from pollution-,ESRS E2: Pollution – Anticipated,E4-4,"Targets related to biodiversity and 
ecosystems","ESRS E4: Biodiversity and 
Ecosystems – Targets"
,"related impacts, risks and opportunities",Financial Effects,E4-5,Impact metrics related to biodiversity and,ESRS E4: Biodiversity and
,,,,ecosystems change,Ecosystems – Metrics
"Disclosure 
requirement",Disclosure requirement title,"Section in Group Sustainability 
Statement",E4-6,"Anticipated financial effects from 
biodiversity and ecosystem-related risks","ESRS E4: Biodiversity and 
Ecosystems – Metrics"
ESRS E3 – Water and marine resources,,,,and opportunities,
ESRS 2 IRO-1,"Description of the processes to identify and 
assess material water and marine","Impact, Risk and Opportunity 
Management – Methods and",Disclosure,,Section in Group Sustainability
,"resources-related impacts, risks and",Assumptions Relating to Water and,requirement,Disclosure requirement title,Statement
,opportunities,Marine Resources,,ESRS E5 – Resource use and circular economy,
E3-1,"Policies related to water and marine 
resources","ESRS E3: Water and Marine 
Resources – Policies and Actions",ESRS 2 IRO-1,Description of the processes to identify and,"Impact, Risk and Opportunity"
E3-2,Actions and resources related to water and,ESRS E3: Water and Marine,,"assess material resource use and circular 
economy-related impacts, risks and","Management – Methods and 
Assumptions Relating to Resource"
,marine resources,Resources – Water Program,,opportunities,Use and Circular Economy
E3-3,"Targets related to water and marine 
resources","ESRS E3: Water and Marine 
Resources – Targets",E5-1,Policies related to resource use and circular,ESRS E5: Resource Use and Circular
Entity-,Water withdrawal,ESRS E3: Water and Marine,,economy,Economy – Policies and Actions
specific,,Resources – Metrics,E5-2,"Actions and resources related to resource 
use and circular economy","ESRS E5: Resource Use and circular 
economy – Policies and Actions"
,,,E5-3,"Targets related to resource use and circular 
economy","ESRS E5: Resource Use and Circular 
Economy – Targets"
,,,E5-4,Resource inflows,"ESRS E5: Resource Use and Circular 
Economy – Resource Inflows"
,,,E5-5,Resource outflows,"ESRS E5: Resource Use and Circular 
Econom – Resource Outflows"
,,,,,(Products and Waste)
,,,E5-6,"Anticipated financial effects from resource 
use and circular economy-related impacts,","ESRS E5: Resource Use and Circular 
Economy – Anticipated financial"
,,,,risks and opportunities,effects
