0,1,2,3,4
,,Covestro Annual Report 2024,,
,CAPITAL MARKET                                                MANAGEMENT REPORT                                                 COMPENSATION REPORT                                            FINANCIAL STATEMENTS                                       FURTHER INFORMATION,,,
ESRS references,,"Disclosure 
Requirement",Datapoint,Section in Management Report
We meet the ESRS disclosure requirements by using references in some cases.,,ESRS 2 GOV-1,22 (c) ii,Declaration on Corporate Governance – Responsibilities and
"These references, which have been inserted in the respective sections of the Group",,,,Duties of the Board of Management and Supervisory Board in
"Sustainability Statement, lead to further information in the general part of the",,,,"Relation to Impacts, Risks, and Opportunities within the 
Meaning of the European Sustainability Reporting Standards"
Combined Management Report.,,,,(ESRS)
,,ESRS 2 GOV-1,22 (c) iii,"Declaration on Corporate Governance – Responsibilities and 
Duties of the Board of Management and Supervisory Board in"
References to the general part of the combined management report,,,,"Relation to Impacts, Risks, and Opportunities within the"
Disclosure,,,,"Meaning of the European Sustainability Reporting Standards 
(ESRS)"
"Requirement 
Datapoint",Section in Management Report,,,
"ESRS 2 GOV-1 
21 (a)","Declaration on Corporate Governance – Composition of the 
Board of Management",ESRS 2 GOV-1,22 (d),"Declaration on Corporate Governance – Responsibilities and 
Duties of the Board of Management and Supervisory Board in"
,"Declaration on Corporate Governance – Composition of the 
Supervisory Board",,,"Relation to Impacts, Risks, and Opportunities within the 
Meaning of the European Sustainability Reporting Standards"
"ESRS 2 GOV-1 
21 (b)",Declaration on Corporate Governance – Composition of the,,,(ESRS)
,Supervisory Board,ESRS 2 GOV-1,23,"Declaration on Corporate Governance – Ensuring Sustainability 
Competence in the Board of Management and Supervisory"
"ESRS 2 GOV-1 
21 (c)","Declaration on Corporate Governance – Objectives and 
Concept for the Composition of the Board of Management",,,Board
,"Declaration on Corporate Governance – Implementation Status 
of the Objectives",ESRS 2 GOV-1,23 (a),"Declaration on Corporate Governance – Implementation Status 
of the Objectives and Qualification Matrix"
,"Declaration on Corporate Governance – Composition of the 
Supervisory Board",,,"Declaration on Corporate Governance – Ensuring Sustainability 
Competence in the Board of Management and Supervisory"
,"Declaration on Corporate Governance – Implementation Status 
of the Objectives and Qualification Matrix",,,Board
,,ESRS 2 GOV-1,23 (b),"Declaration on Corporate Governance – Ensuring Sustainability 
Competence in the Board of Management and Supervisory"
"ESRS 2 GOV-1 
21 (d)","Declaration on Corporate Governance – Promotion of Equal 
Participation of Women and Men in Leadership Positions",,,Board
"ESRS 2 GOV-1 
21 (e)","Declaration on Corporate Governance – Implementation Status 
of the Objectives and Qualification Matrix",ESRS 2 GOV-5,36 (a),"Opportunities and Risks Report – Internal Control System 
Opportunities and Risks Report – Risk Management System"
"ESRS 2 GOV-1 
22 (a)",Declaration on Corporate Governance – Responsibilities and,ESRS 2 GOV-5,36 (b),"Opportunities and Risks Report – Internal Control System 
Opportunities and Risks Report – Risk Management System"
,"Duties of the Board of Management and Supervisory Board in 
Relation to Impacts, Risks, and Opportunities within the",,,
,Meaning of the European Sustainability Reporting Standards,ESRS 2 GOV-5,36 (c),"Opportunities and Risks Report – Internal Control System 
Opportunities and Risks Report – Risk Management System"
,(ESRS),,,Opportunities and Risks Report – Opportunities and Risks in
"ESRS 2 GOV-1 
22 (b)","Declaration on Corporate Governance – Responsibilities and 
Duties of the Board of Management and Supervisory Board in",,,General and in the Entity’s Business Environment
,"Relation to Impacts, Risks, and Opportunities within the",ESRS 2 GOV-5,36 (d),"Opportunities and Risks Report – Internal Control System 
Opportunities and Risks Report – Risk Management System"
,"Meaning of the European Sustainability Reporting Standards 
(ESRS)",ESRS 2 GOV-5,36 (e),Opportunities and Risks Report – Internal Control System
"ESRS 2 GOV-1 
22 (c) i",Declaration on Corporate Governance – Responsibilities and,,,Opportunities and Risks Report – Risk Management System
,Duties of the Board of Management and Supervisory Board in,ESRS 2 SBM-1,40 (a) i,Company Profile – Business Model
,"Relation to Impacts, Risks, and Opportunities within the",ESRS 2 SBM-1,40 (a) ii,"Company Profile – Business Model 
Company Profile – Segments"
,"Meaning of the European Sustainability Reporting Standards 
(ESRS)",ESRS 2 SBM-1,40 (a) iii,Company Profile – Organization
,,ESRS 2 SBM-1,40 (f),"Company Profile – Business Model 
Corparate Strategy – Become Climate-Neutral and Fully"
,,,,Circular
