0,1,2,3,4,5,6,7
List of datapoints in cross-cutting and topical standards that derive from other EU legislation,,,,,,,
"Disclosure 
Requirement",Datapoint,Name of datapoint,SFDR1,Pillar 3,"Benchmark 
Regulation","EU Climate 
Law",Section in Group Sustainability Statement
ESRS E3-1,14,Sustainable oceans and seas,X,,,,ESRS E3: Water and Marine Resources – Water Program
ESRS E3-4,28 (c),Total water recycled and reused,X,,,,Non-material datapoint
ESRS E3-4,29,"Total water consumption in m3 per net revenue on own 
operations",X,,,,Non-material datapoint
ESRS 2 SBM-3 – E4,16 (a) i,,X,,,,"ESRS E4: Biodiversity and Ecosystems – Policies and 
Actions"
ESRS 2 SBM-3 – E4,16 (b),,X,,,,ESRS E4: Biodiversity and Ecosystems – Metrics
ESRS 2 SBM-3 – E4,16 (c),,X,,,,ESRS E4: Biodiversity and Ecosystems – Metrics
ESRS E4-2,24 (b),Sustainable land / agriculture practices or policies,X,,,,Non-material datapoint
ESRS E4-2,24 (c),Sustainable oceans / seas practices or policies,X,,,,ESRS E4: Biodiversity and Ecosystems – Policies and Actions
ESRS E4-2,24 (d),Policies to address deforestation,X,,,,Non-material datapoint
ESRS E5-5,37 (d),Non-recycled waste,X,,,,"ESRS E5: Resource Use and Circular Economy – 
Resource Outflows (Products and Waste)"
ESRS E5-5,39,Hazardous waste and radioactive waste,X,,,,"ESRS E5: Resource Use and Circular Economy – 
Resource Outflows (Products and Waste)"
ESRS 2 SBM3 - S1,14 (f),Risk of incidents of forced labour,X,,,,ESRS S1: Own Workforce – Strategy
ESRS 2 SBM3 - S1,14 (g),Risk of incidents of child labour,X,,,,ESRS S1: Own Workforce – Strategy
ESRS S1-1,20,Human rights policy commitments,X,,,,ESRS S1: Own Workforce – Policies
ESRS S1-1,21,"Due diligence policies on issues addressed by the 
fundamental International Labor Organisation",,,X,,ESRS S1: Own Workforce – Policies
,,Conventions 1 to 8,,,,,
ESRS S1-1,22,"processes and measures for preventing trafficking in 
human beings",X,,,,ESRS S1: Own Workforce – Policies
ESRS S1-1,23,"workplace accident prevention policy or management 
system",X,,,,"ESRS S1: Own Workforce – Actions on Impact, Risk, and 
Opportunity Management"
ESRS S1-3,32 (c),grievance/complaints handling mechanisms,X,,,,"ESRS S1: Own Workforce – Actions on Impact, Risk, and 
Opportunity Management"
ESRS S1-14,88 (b) & (c),"Number of fatalities and number and rate of work-
related accidents paragraph",X,,X,,ESRS S1: Own Workforce – Health and Safety
ESRS S1-14,88 (e),"Number of days lost to injuries, accidents, fatalities or 
illness",X,,,,ESRS S1: Own Workforce – Health and Safety
ESRS S1-16,97 (a),Unadjusted gender pay gap,X,,X,,"ESRS S1: Own Workforce – Compensation Metrics (Pay 
Gap and Total Compensation)"
ESRS S1-16,97 (b),Excessive CEO pay ratio,X,,,,"ESRS S1: Own Workforce – Compensation Metrics (Pay 
Gap and Total Compensation)"
ESRS S1-17,103 (a),Incidents of discrimination,X,,,,"ESRS S1: Own Workforce – Incidents, Complaints, and 
Severe Human Rights Impacts"
ESRS S1-17,104 (a),"Non-respect of UNGPs on Business and Human Rights 
and OECD",X,,X,,"ESRS S1: Own Workforce – Incidents, Complaints, and 
Severe Human Rights Impacts"
ESRS 2 SBM3 – S2,11 (b),"Significant risk of child labour or forced labour in the 
value chain",X,,,,ESRS S2: Workers in the Value Chain – Strategy
