0,1
"LIST OF DATAPOINTS IN GENERAL AND TOPIC-SPECIFIC STANDARDS RESULTING FROM OTHER EU LEGISLATION (ESRS 2, APPENDIX B)",
,Reference
ESRS 2 GOV-1 Gender diversity of management and supervisory bodies paragraph 21(d),The role of Board of Management and Supervisory Board
ESRS 2 GOV-1 Percentage of independent board members paragraph 21(e),Composition of the Supervisory Board and its committees
ESRS 2 GOV-4 Statement on due diligence paragraph 30,Statement on due diligence
ESRS 2 SBM-1 Involvement in activities related to fossil fuels paragraph 40(d)(i),Not reported
ESRS 2 SBM-1 Involvement in activities related to the production of chemicals paragraph 40(d)(ii),Not reported
ESRS 2 SBM-1 Involvement in activities related to controversial weapons paragraph 40(d)(iii),Not reported
ESRS 2 SBM-1 Involvement in activities related to the cultivation and production of tobacco paragraph 40(d)(iv),Not reported
ESRS E1-1 Transition plan for achieving climate neutrality by 2050 paragraph 14,Transition plan for climate change mitigation
ESRS E1-4 GHG emissions and reduction targets paragraph 34,Targets related to climate change mitigation and adaptation
"ESRS E1-5 Energy consumption from fossil fuels, disaggregated by source (only high climate impact sectors) paragraph 38","Energy consumption, energy mix and energy efficiency"
ESRS E1-5 Energy consumption and mix paragraph 37,"Energy consumption, energy mix and energy efficiency"
ESRS E1-5 Energy intensity from activities in high climate impact sectors paragraphs 40 to 43,"Energy consumption, energy mix and energy efficiency"
"ESRS E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions paragraph 44",Decarbonization progress
ESRS E1-6 Intensity of gross GHG emissions paragraphs 53 to 55,Decarbonization progress
ESRS E1-7 GHG removals and carbon credits paragraph 56,Carbon credits and GHG mitigation projects
ESRS E1-9 Risk exposure of reference value portfolio with regard to physical climate-related risks paragraph 66,"Anticipated financial effects from material physical risks, transition risks and 
opportunities"
"ESRS E1-9 Disaggregation of monetary amounts by acute and chronic physical risk, paragraph 66(a) and ESRS E1-9 Location of significant assets 
with a material physical risk paragraph 66(c)","Anticipated financial effects from material physical risks, transition risks and 
opportunities"
ESRS E1-9 Breakdown of the carrying value of real estate assets by energy efficiency classes paragraph 67(c),"Anticipated financial effects from material physical risks, transition risks and 
opportunities"
ESRS E1-9 Portfolio’s degree of exposure to climate-related opportunities paragraph 69,"Anticipated financial effects from material physical risks, transition risks and 
opportunities"
"ESRS E2-4 Amount of each pollutant listed in Annex II of the E-PRTR Regulation (European Pollutant Release and Transfer Register) emitted to 
air, water and soil paragraph 28",Not material
ESRS E3-1 Water and marine resources paragraph 9,Not material
ESRS E3-1 Dedicated policy paragraph 13,Not material
ESRS E3-1 Sustainable oceans and seas paragraph 14,Not material
ESRS E3-4 Total water recycled and reused paragraph 28 (c),Not material
ESRS E3-4 Total water consumption in m3 per net revenue on own operations paragraph 29,Not material
"120 
DHL Group –2024 Annual Report",
