0,1,2,3,4
,,,General Disclosures,
ESRS,Topic,Data requirement,Section and page number,
ESRS S4,Consumers and,SBM-2,6.1.3.2 Interests and Views of Stakeholders p. 341,
,end-users,SBM-3,6.1.4.1 Description of the Processes to Identify and Assess Material,
,,,"Impacts, Risks and Opportunities – EssilorLuxottica Double Materiality",
,,,Assessment p. 343,
,,S4-1,6.3.4.2.3 Policies p. 451; 6.3.4.3.3 Policies p. 456; 6.3.4.4.3 Policies,
,,,p. 461,"—
—"
,,S4-2,6.3.4.2.4 Processes for engaging with consumers p. 451; 6.3.4.3.4,—
,,,Processes for engaging with consumers p. 456; 6.3.4.4.3 Policies p. 461,
,,S4-3,6.3.4.2.5 Processes to remediate negative impacts and channels,
,,,for consumers to raise concerns p. 451; 6.3.4.3.5 Processes to,
,,,remediate negative impacts and channels for consumers to raise,
,,,concerns p. 458; 6.3.4.4.3 Policies p. 461,|1|
,,S4-4,6.3.4.2.6 Actions and resources p. 452; 6.3.4.3.6 Actions and resources,
,,,p. 459; 6.3.4.4.4 Actions and resources p. 462,
,,S4-5,6.3.4.2.7 Targets p. 454; 6.3.4.3.7 Targets p. 460; 6.3.4.4.5 Targets,
,,,p. 462,
ESRS G1,Business conduct,GOV-1,"6.1.2.1 The Role of the Administrative, Management and Supervisory",|2|
,,,Bodies p. 335,
,,IRO-1,6.1.4.1 Description of the Processes to Identify and Assess Material,
,,,"Impacts, Risks and Opportunities – EssilorLuxottica Double Materiality",
,,,Assessment p. 343,
,,G1-1,6.4.1.3 Policies p. 464,|3|
,,G1-2,6.4.1.5.5 Management of relationships with suppliers p. 471,
,,G1-3,6.4.1.5.3 Prevention and detection of bribery and corruption p. 470,
,,,and 6.4.1.5.4 Training on business conduct and anti-corruption p. 470,
,,G1-4,6.4.1.6 Targets and Metrics p. 471,
,,G1-5,Not material,|4|
,,G1-6,6.4.1.5.5 Management of relationships with suppliers p. 471,
,,,,|5|
,,,,|6|
,,,,|7|
,,,,|8|
