0,1,2,3
3.5  Sustainability Notes,,,
3.5.1  List of Material Disclosure Requirements (ESRS Context Index),,,
General disclosures,,,
ESRS disclosure requirement,,Section,Page
General disclosures,,,
BP-1,General basis for preparation of sustainability statements,3.1.1.1.,77
BP-2,Disclosures in relation to specific circumstances,3.1.1.2.,77 - 78
GOV-1,"The role of the administrative, management and supervisory bodies","3.1.4.1. and 
3.1.4.2.",89 - 91
GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s 
administrative, management and supervisory bodies",3.1.4.3.,91 - 92
GOV-3,Integration of sustainability-related performance in incentive schemes,3.1.4.4.,92
GOV-4,Statement on due diligence,3.1.4.5.,92
GOV-5,Risk management and internal controls over sustainability reporting,3.1.4.6.,92 - 93
SBM-1,"Strategy, business model and value chain",3.1.2.1.,78 - 84
SBM-2,Interests and views of stakeholders,3.1.2.2.,85 - 86
SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",3.1.3.2.,89
IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",3.1.3.1.,86 - 89
IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,3.1.3.3.  and 3.5.1,89 and 129 - 132
Environment,,,
ESRS disclosure requirement,,Section,Page
Climate change,,,
E1,Taxonomy disclosure,3.2.1.,95 - 97
ESRS 2 GOV-3,Integration of sustainability-related performance in incentive schemes,3.2.2.1.,97
E1-1,Transition plan for climate change mitigation,3.2.2.2.1.,97 - 98
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",3.2.2.2.2.,98 - 99
ESRS 2 IRO-1,"Description of the processes to identify and assess material climate-related impacts, risks 
and opportunities",3.2.2.3.,99
"ESRS 2 MDR-P 
E1-2","Policies adopted to manage material sustainability matters 
Policies related to climate change mitigation and adaptation",3.2.2.3.1.,99
"ESRS 2 MDR-A 
E1-3","Actions and resources in relation to material sustainability matters 
Actions and resources in relation to climate change policies",3.2.2.3.2.,99 - 100
E1-4,Targets related to climate change mitigation and adaptation,3.1.5.,93
E1-5,Energy consumption and mix,3.2.2.4.2.,102
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",3.2.2.4.3.,103 - 104
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,3.2.2.4.4.,104
E1-8,Internal carbon pricing,3.2.2.4.5.,104
"Sustainable Products and Services, including training",,,
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",3.2.3.1.1.,106 - 107
ESRS 2 MDR-P,Policies adopted to manage material sustainability matters,3.2.3.2.1.,107
ESRS 2 MDR-A,Actions and resources in relation to material sustainability matters,3.2.3.2.2.,107 - 108
ESRS 2 MDR-M,Metrics in relation to Sustainable products,3.2.3.3.1.,109
ESRS 2 MDR-M,Metrics in relation to Sustainable services,3.2.3.3.2.,109
ESRS 2 MDR-T,Tracking effectiveness of policies and actions,3.2.3.3.3.,109
