0,1,2,3,4
3,Empower Sustainable Finance,,,
,Social,,,
,ESRS disclosure requirement,,Section,Page
,Own workforce,,,
,ESRS 2 SBM-2,Interests and views of stakeholders,3.3.1.1.,111
,ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business 
model",3.3.1.2.,111 - 113
,"ESRS 2 MDR-P  
S1-1","Policies adopted to manage material sustainability matters 
Policies related to own workforce",3.3.2.1.,113
,S1-2,Processes for engaging with own workers and workers’ representatives about impacts,3.3.2.2.,113 - 114
,S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns,3.3.2.3.,114 - 115
,"ESRS 2 MDR-A 
S1-4","Actions and resources in relation to material sustainability matters  
Taking action on material impacts on own workforce, and approaches to mitigating material",3.3.2.4.,115 - 118
,,"risks and pursuing material opportunities related to own workforce, and effectiveness of 
those actions",,
,ESRS 2 MDR-T,Tracking effectiveness of policies and actions,3.3.3.5.,122
,S1-6,Characteristics of the undertaking’s employees,3.3.3.1.,119 - 120
,S1-8,Collective bargaining coverage and social dialogue,3.3.3.4.,121 - 122
,S1-9,Diversity metrics,3.3.3.2.,120 - 121
,S1-10,Adequate wages,3.3.3.4.,121 - 122
,S1-12,Persons with disabilities,3.3.3.2.3.,120 - 121
,S1-13,Training and skills development metrics,3.3.3.3.,121
,S1-16,Remuneration metrics,3.3.3.2.,120 - 121
,S1-17,"Incidents, complaints and severe human rights impacts",3.3.3.2.,120 - 121
,Governance,,,
,ESRS disclosure requirement,,Section,Page
,Business conduct,,,
,ESRS 2 GOV-1,"The role of the administrative, supervisory and management bodies",3.4.1.,125
,ESRS 2 IRO-1,"Description of the processes to identify and assess material impacts, risks and 
opportunities",3.4.2.,125
,"ESRS 2 MDR-P  
G1-1","Policies adopted to manage material sustainability matters
Corporate culture and business conduct policies",3.4.2.2 .,125
,"ESRS 2 MDR-A 
and G1-3","Actions and resources in relation to material sustainability matters  
Prevention and detection of corruption and bribery",3.4.2.3.,126 - 128
,G1-4,Confirmed incidents of corruption or bribery,3.4.3.1.,128
,ESRS 2 MDR -T,Tracking effectiveness of policies and actions,3.4.3.2.,128
,3.5.2  Disclosure requirements that derive from other EU legislations,,,
,"The tables below provides an overview ESRS data points that derive from other EU legislation, based on ESRS 2 Appendix B and",,,
,where this information can be found if deemed material.,,,
,General disclosures,,,
,ESRS data point,Information,Regulation,Page
,General disclosures,,,
,"GOV-1
21 (d)",Board's gender diversity,"SFDR, Benchmark Regulation",90 - 91
,"GOV-1
21 (e)","Percentage of board members 
who are independent",Benchmark Regulation,90 - 91
,"GOV-4
30",Statement on due diligence,SFDR,93
,"SBM-1
40 (d) 
i,ii,iii,","Activities related to fossil fuel, chemical production, tobacco weapons","SFDR; Pillar 3; Benchmark 
Regulation",N/A
,iv,,,
,130,2024 UNIVERSAL REGISTRATION DOCUMENT,,
