0,1
Disclosure requirement and related datapoint,Page number/paragraph Sustainability Statement 2024
ESRS 2 - GENERAL DISCLOSURES,
"BP-1 General basis for preparation of the Sustainability 
Statement",General information - 1.1 Basis of preparation (see page 88)
BP-2 Disclosures in relation to specific circumstances,General information - 1.1 Basis of preparation (see page 89)
"GOV-1 The role of the administrative, management and 
supervisory bodies",General information - 1.2 Governance (see page 90-91)
"GOV-2 Information provided to and sustainability matters 
addressed by the undertaking's administrative, management 
and supervisory bodies",General information - 1.2 Governance (see page 92)
"GOV-3 Integration of sustainability-related performance in 
incentive schemes",General information - 1.2 Governance (see page 92)
GOV-4 Statement on due diligence,General information - 1.2 Governance (see page 93-94)
"GOV-5 Risk management and internal controls over 
sustainability reporting",General information - 1.2 Governance (see page 94)
"SBM-1 Strategy, business model and value chain","General information - 1.3 Strategy and business model (see 
page 95-98)"
SBM-2 Interests and views of stakeholders,"General information - 1.3 Strategy and business model (see 
page 98-99)"
"SBM-3 - Material impacts, risks and opportunities and their 
interaction with strategy and business model","General information - 1.4 The Double Materiality 
Assessment (see page 100- 105)"
"IRO-1 Description of the process to identify and assess 
material impacts, risks and opportunities","General information - 1.4 The Double Materiality 
Assessment (see page 99-100)"
"IRO-2 Disclosure Requirements in ESRS covered by the 
undertaking's Sustainability Statement","General information - 1.4 The Double Materiality 
Assessment (see page 106)"
ESRS E1 CLIMATE CHANGE,
"IRO-1 Description of the processes to identify and assess 
material climate-related impacts, risks and opportunities","Environmental information - 2.2 Emissions reduction and 
climate change (see page 108)"
"E1-2 Policies related to climate change mitigation and 
adaptation","Environmental information - 2.2 Emissions reduction and 
climate change - 2.2.1 Approach to climate change in Exor 
(see page 114)"
