0,1,2,3,4,5,6,7
ESRS E1-9,69,"Degree of exposure of the portfolio to 
climate-related opportunities",,,✓,,Not material
ESRS E2-4,28,"Amount of each pollutant listed in 
Annex II of the E-PRTR Regulation 
emitted to air, water and soil",✓,,,,Not material
ESRS E3-1,9,Water and marine resources,✓,,,,Not material
ESRS E3-1,13,Dedicated policy,✓,,,,Not material
ESRS E3-1,14,Sustainable oceans and seas,✓,,,,Not material
ESRS E3-4,28 (c),Total water recycled and reused,✓,,,,Not material
ESRS E3-4,29,"Total water consumption in m3 per net 
revenue on own operations",✓,,,,Not material
"ESRS 2 IRO-1 
E4",16 (a) i,Biodiversity sensitive areas,✓,,,,Not material
"ESRS 2 IRO-1 
E4",16 (b),"Land degradation, desertification or 
soil sealing",✓,,,,Not material
"ESRS 2 IRO-1 
E4",16 (c),Threatened species,✓,,,,Not material
ESRS E4-2,24 (b),"Sustainable land / agriculture
practices or policies",✓,,,,Not material
ESRS E4-2,24 (c),"Sustainable oceans / seas practices 
or policies",✓,,,,Not material
