0,1,2,3,4,5,6,7,8
"COMBINED MANAGEMENT REPORT  |  SUSTAINABILITY REPORT
Annex to the combined management report",,,,,EVONIK  FINANCIAL AND SUSTAINABILITY REPORT  2024,,,
ESRS 2 Appendix B,,,,,,,,
ESRS Index: Disclosure requirements covered,,,,,,,,T70
ESRS,Disclosure,Material a,"Use of phase-
in provisions",Page number,"ESRS
Disclosure",Material a,"Use of phase-
in provisions",Page number
S1-11,Social protection,x,,174,"S2-5 
Targets related to managing material negative 
 
impacts, advancing positive impacts, and managing",,,
S1-12,Persons with disabilities,,,,material risks and opportunities,x,,201 f.
S1-13,Training and skills development metrics,x,,"172, 174 f.","ESRS S3
Affected communities",,,
S1-14,Health and safety metrics,x,x,"180, 183","ESRS S4
Consumers and end-users",,,
S1-15,Work-life balance metrics,x,x,174,"ESRS G1
Business conduct",x,,
S1-16,Remuneration metrics (pay gap and total remuneration),x,,173,"ESRS 2 GOV-1  The role of the administrative, management,",,,
S1-17,"Incidents, complaints and severe human rights impacts",x,,197,and supervisory bodies,x,,"121 f., 190 f."
ESRS S2,Workers in the value chain,x,,,"ESRS 2 IRO-1 
Description of the processes to identify and  
assess material impacts, risks and opportunities",x,,"108 ff., 114 ff.,  
192, 202"
ESRS 2 SBM-2,Interests and views of stakeholders,x,,105 ff.,"G1-1
Business conduct policies and corporate culture",x,,"190 ff., 195"
"ESRS 2 SBM-3  Material impacts, risks and opportunities and their",interaction with strategy and business model,x,,"157, 200,","G1-2
Management of relationships with suppliers",x,,"194, 203"
S2-1,Policies related to value chain workers,x,,"188, 200 f., 205","G1-3
Prevention and detection of corruption and bribery",x,,"189 ff., 193, 195 ff."
S2-2,"Processes for engaging with value chain workers  
about impacts",x,,"201, 203 f.","G1-4
Incidents of corruption or bribery",x,,197
S2-3,Processes to remediate negative impacts and channels,,,,"G1-5
Political influence and lobbying activities",x,,197 f.
,for value chain workers to raise concerns,x,,"194 f., 200 ff.","G1-6
Payment practices",,,
S2-4,"Taking action on material impacts on value chain 
workers, and approaches to managing material risks",,,,a  Classified based on the materiality assessment and ESRS 2 AR 16.,,,
,"and pursuing material opportunities related to value 
chain workers, and effectiveness of those actions",x,,"157, 191, 200,  
202 f., 205",,,,
