0,1,2,3,4
ESRS G1,Business conduct,"Section/
report",Page,Additional information
G1-IRO-1,"Assessing impacts, risks and opportunities",SS,130,
G1-GOV-1,"The role of the administrative, management and 
supervisory bodies",CG/SS,"58-62/74/ 
131",
G1-1,Business conduct policies and corporate culture,SS,131-132,"Data point 10 (b) United Nations Convention 
against corruption is derived from SFDR"
,,,,"Data point 10 (d) Protection of whistle-blowers is 
derived from SFDR"
G1-2,Managing our supply chain,SS,132,
G1-3,"Prevention and detection of corruption and 
bribery",SS,133-134,
G1-4,Incidents of corruption or bribery,SS,133-134,"Data point 24 (a) Fines for violation of anti-corrup-
tion and anti-bribery laws is derived from SFDR"
,,,,"Data point 24 (b) Standards of anti-corruption 
and anti-bribery is derived from SFDR"
G1-5,Political influence and lobbying activities,SS,134,
G1-6,Payment practices,SS,133,
