0,1,2,3,4
Table 62: ESRS E3 Water and marine resources,,,,
Disclosure Requirement,,Section,Page,"Phase- 
in"
ESRS E3 Water and Marine Resources,,,,
"E3 – 
IRO-1","Description of the processes to identify and assess material water and marine 
resources – related impacts, risks, and opportunities","SUS/E3- 
INTRO",169,
E3 – 1,Policies related to water and marine resources,SUS/E3-1,169-170,
E3 – 2,Actions and resources related to water and marine resources,SUS/E3-2,170,
E3 – 3,Targets related to water and marine resources,SUS/E3-3,170,
Table 63: ESRS E4 Biodiversity and ecosystems,,,,
Disclosure Requirement,,Section,Page,"Phase- 
in"
ESRS E4 Biodiversity and ecosystems,,,,
"E4 – 
IRO-1","Description of processes to identify and assess material biodiversity and ecosystem- 
related impacts, risks, dependencies and opportunities","SUS/E4- 
INTRO",171-173,
E4 – 1,"Transition plan and consideration of biodiversity and ecosystems in strategy and 
business model",SUS/E4-1,173-174,
E4 – 2,Policies related to biodiversity and ecosystem,SUS/E4-2,174-176,
E4 – 3,Actions and resources related to biodiversity and ecosystems,SUS/E4-3,176-177,
E4 – 4,Targets related to biodiversity and ecosystems,SUS/E4-4,177-178,
E4 – 5,Impact metrics related to biodiversity and ecosystems change,SUS/E4-5,178,
