0,1,2
Report of the MB,"Report of the SB
Risk Management
Sustainability Statement",Financial Statements
E1 – 1,"Transition plan for climate change mitigation 
SUS/E1-1 
139-140",
"E1 – 
IRO-1","Description of the processes to identify and assess material climate-related 
SUS/E1-INTRO
134-137
impacts, risks, and opportunities",
E1 – 2,"Policies related to climate change mitigation and adaptation 
SUS/E1-2 
140-143",
E1 – 3,"Actions and resources in relation to climate change policies 
SUS/E1-3 
143-147",
E1 – 4,"Targets related to climate change mitigation and adaptation 
SUS/E1-4 
147-149",
E1 – 6,"Gross Scopes 1, 2, 3, and Total GHG emissions 
SUS/E1-6; CFS 
149-153, 
232",
E1 – 7,"GHG removals and GHG mitigation projects financed through carbon 
SUS/E1-7 
154
credits",
E1 – 9,"Anticipated financial effects from material physical and transition risks and 
potential climate-related opportunities","Paragraph 
64-70"
Table 62: ESRS E3 Water and marine resources,,
Disclosure Requirement,"Section
Page","Phase- 
in"
ESRS E3 Water and Marine Resources,,
"E3 – 
IRO-1","Description of the processes to identify and assess material water and marine 
SUS/E3- 
169
resources – related impacts, risks, and opportunities 
INTRO",
E3 – 1,"Policies related to water and marine resources 
SUS/E3-1 
169-170",
E3 – 2,"Actions and resources related to water and marine resources 
SUS/E3-2 
170",
E3 – 3,"Targets related to water and marine resources 
SUS/E3-3  
170",
Table 63: ESRS E4 Biodiversity and ecosystems,,
Disclosure Requirement,"Section
Page","Phase- 
in"
ESRS E4 Biodiversity and ecosystems,,
"E4 – 
IRO-1","Description of processes to identify and assess material biodiversity and ecosystem- 
SUS/E4- 
171-173
related impacts, risks, dependencies and opportunities 
INTRO",
E4 – 1,"Transition plan and consideration of biodiversity and ecosystems in strategy and 
SUS/E4-1 
173-174
business model",
E4 – 2,"Policies related to biodiversity and ecosystem 
SUS/E4-2 
174-176",
E4 – 3,"Actions and resources related to biodiversity and ecosystems 
SUS/E4-3 
176-177",
E4 – 4,"Targets related to biodiversity and ecosystems
SUS/E4-4
177-178",
E4 – 5,"Impact metrics related to biodiversity and ecosystems change 
SUS/E4-5 
178",
Table 64: ESRS S1 Own workforce,,
Disclosure Requirement,"Section
Page","Phase- 
in"
ESRS S1 Own workforce,,
"S1 – 
SBM-3","Material impacts, risks, and opportunities and their interaction with strategy and 
SUS/S1- 
179-181
business model 
INTRO",
S1 – 1,"Policies related to own workforce 
SUS/S1-1 
181-183",
S1 – 2,"Processes for engaging with own workers and workers’ representatives about impacts 
SUS/S1-2 
183",
S1 – 3,"Processes to remediate negative impacts and channels for own workers to raise 
SUS/S1-3 
184
concerns",
S1 – 4,"Taking action on material impacts on own workforce, and approaches to mitigating 
SUS/S1-4 
184-185
material risks and pursuing material opportunities related to own workforce, and",
,effectiveness of those actions,
S1 – 5,"Targets related to managing material negative impacts, advancing positive impacts, 
SUS/S1-5 
186-187
and managing material risks and opportunities",
S1 – 6,"Characteristics of the undertaking’s employees 
SUS/S1-6 
187-188",
