0,1,2,3,4,5,6,7,8
Table 70: List of data points derived from other EU legislation and references,,,,,,,,
"Disclosure 
requirement","Data 
point",Sustainability statements,SFDR,"Pillar 
3","Benchmark 
regulation","EU 
Climate",Section,Page
,,,,,,Law,,
"ESRS 2 GOV 
– 1",21d,Board’s gender diversity ratio,X,,,,"CG - diversity 
and inclusion",43
"ESRS 2 GOV 
– 1",21e,"Percentage of independent board 
members",X,,,,"RSB - 
Independence,",57
,,,,,,,"conflicts of 
interest and",
,,,,,,,governance,
"ESRS 2 GOV 
– 4","30; 
32","Disclosure of mapping of information 
provided in sustainability statement",X,,,,"Reference 
Tables -",225-226
,,about due diligence process,,,,,"statement on 
DD",
"ESRS 2 SBM 
– 1",40 d i,"Undertaking is active in fossil fuel (coal, 
oil, and gas) sector",X,,,,NA,NA
"ESRS 2 SBM 
– 1","40 d 
ii","Undertaking is active in chemicals 
production",X,,,,NA,NA
"ESRS 2 SBM 
– 1","41 d 
ii",Revenue from chemicals production,X,,,,NA,NA
E1 – 1,15,"Disclosure of transition plan for climate 
change",,,,X,E1,139-140
E1 – 6,48a,"Gross Scope 1 greenhouse gas 
emissions",X,X,X,,E1,149-150
E1 – 6,"49a, 
52a","Gross location-based Scope 2 
greenhouse gas emissions",X,X,X,,E1,149-150
E1 – 6,"49b, 
52b","Gross market-based Scope 2 
greenhouse gas emissions",X,X,X,,E1,149-150
E1 – 6,52,"Gross Scope 3 greenhouse gas 
emissions",X,X,X,,E1,149-150
E1 – 6,"44, 
52a",Total GHG emissions locations based,X,X,X,,E1,149-150
E1 – 6,"44, 
52b",Total GHG emissions market based,X,X,X,,E1,149-150
E1 – 7,56a,"Disclosure of GHG removals and 
storage resulting from projects",,,,X,E1,154
,,"developed in own operations or 
contributed to in upstream and",,,,,,
,,downstream value chain,,,,,,
E1 – 7,56b,"Disclosure of GHG emission reductions 
or removals from climate change",,,,X,E1,154
,,"mitigation projects outside value chain 
financed or to be financed through any",,,,,,
,,purchase of carbon credits,,,,,,
S1 – 1,21,"Description of relevant human rights 
policy commitments relevant to own",X,,,,S1 - Intro,179
