0,1,2,3,4,5
ESRS E5 Resource use and circular economy,,,ESRS S1 Own workforce,,
Disclosure requirement,,"Section
ESRS 2: Governance",Disclosure requirement,Interests and views of,Section
,,ESRS 2: Business model and strategy,"ESRS 2, SBM-2",stakeholders,ESRS 2: Business model and strategy
,"Description of the processes 
to identify and assess material","ESRS 2: Double materiality assessment - 
Double Materiality Outcome",,"Material impacts, risks and 
opportunities and their",
"ESRS 2, IRO-1",resource use and circular,E,ESRS 2 SBM-3,interaction with strategy and,ESRS S1: Introduction to the topic
,"economy-related impacts, risks 
and opportunities",SRS E5: Introduction to the topic,,business model,
,,"E
SRS S4: Engaging with consumers and",,,ESRS S1: Approach and policies
,,end-users,S1-1,Policies related to own workforce,"E
SRS G1: Remediation and"
E5-1,"Policies related to resource use 
and circular economy",ESRS E5: Approach and policies,,,whistleblowing channel
,Actions and resources related,,,Processes for engaging with,ESRS S1: Introduction to the topic
E5-2,to resource use and circular,ESRS E5: Actions,S1-2,"own workers and workers’ 
representatives about impacts","E
SRS S1: Engaging with the company’s"
,"economy
Targets related to resource use",,,,own employees
E5-3,and circular economy,ESRS E5: Targets,S1-3,"Processes to remediate negative 
impacts and channels for own",ESRS G1: Remediation and
E5-4,Resource inflows,ESRS E5: Resource inflows,,workers to raise concerns,whistleblowing channel
E5-5,Resource outflows,ESRS E5: Resource outflows,,"Taking action on material 
impacts on own workforce, and",
,,,S1-4,"approaches to mitigating material 
risks and pursuing material",ESRS S1: Actions
,,,,"opportunities related to own 
workforce, and effectiveness of",
,,,,"those actions
Targets related to managing",
,,,S1-5,"material negative impacts, 
advancing positive impacts, and",ESRS S1: Targets
,,,,"managing material risks and 
opportunities",
,,,S1-6,"Characteristics of the 
undertaking’s employees","ESRS S1: Characteristics of Fiskars 
Group’s employees"
,,,"S1-9
S1-10","Diversity metrics
Adequate wages","ESRS S1: Diversity metrics 
ESRS S1: Adequate wages"
,,,S1-14,"Health and safety metrics
Compensation metrics (pay gap",ESRS S1: Health and safety (metrics)
,,,S1-16,and total compensation),ESRS S1: Compensation metrics
,,,S1-17,"Incidents, complaints and severe 
human rights impacts","ESRS G1 - Remediation and 
whistleblowing channel"
