0,1,2,3,4,5
Combined Group Management Report  →  Appendix to the Sustainability Statement,,,,,"Contents 
 
  Search 
 
  Back"
List of datapoints in cross-cutting and topical standards that derive from other EU legislation   [•],,,,,
Disclosure Requirement and,SFDR reference1,Pillar 3 reference2,Benchmark Regulation,EU Climate Law reference4,Reference
related datapoint,,,reference3,,
"ESRS 2 GOV-1 Board's gender diversity 
paragraph 21 (d)","Indicator number 13 of Table #1 of 
Annex 1",,"Commission Delegated Regulation 
(EU) 2020/1816(5), Annex II",,"→ E.ON’s Approach to Sustainability: 
Composition, Diversity, and"
,,,,,"Competency of the Management Board 
and Supervisory Board"
"ESRS 2 GOV-1 Percentage of board 
members who are independent",,,"Delegated Regulation (EU) 
2020/1816, Annex II",,"→ E.ON’s Approach to Sustainability: 
Composition, Diversity, and"
paragraph 21 (e),,,,,"Competency of the Management Board 
and Supervisory Board"
"ESRS 2 GOV-4 Statement on due 
diligence paragraph 30","Indicator number 10 Table #3 of  
Annex 1",,,,"→ E.ON’s Approach to Sustainability: 
Fulfilling Our Due Diligence Obligation"
,,,,,"→ Appendix to the Sustainability 
Statement: Information on due"
,,,,,"diligence obligations in accordance with 
ESRS 2 GOV-4"
"ESRS 2 SBM-1 Involvement in activities 
related to fossil fuel activities","Indicators number 4 Table #1 of  
Annex 1","Article 449a Regulation (EU) No 
575/2013; Commission Implementing","Delegated Regulation (EU) 
2020/1816, Annex II",,"→ E.ON’s Approach to Sustainability: 
Sustainability: an Integral Component"
paragraph 40 (d) i,,"Regulation (EU) 2022/2453(6)Table 1: 
Qualitative information on",,,"of E.ON’s Business Model and Strategy  
→ EU Taxonomy: Revenues"
,,"Environmental risk and Table 2: 
Qualitative information on Social risk",,,
"ESRS 2 SBM-1 Involvement in activities 
related to chemical production",Indicator number 9 Table #2 of Annex 1,,"Delegated Regulation (EU) 
2020/1816, Annex II",,"E.ON has no involvement in activities 
related to the production of chemicals"
paragraph 40 (d) ii,,,,,(paragraph 40(d)(ii)).
"ESRS 2 SBM-1 Involvement in activities 
related to controversial weapons","Indicator number 14 Table #1 of  
Annex 1",,"Delegated Regulation (EU) 
2020/1818(7), Article 12(1)",,"E.ON has no involvement in activities 
related to controversial weapons"
paragraph 40 (d) iii,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,Paragraph 40(d)(iii).
"ESRS 2 SBM-1 Involvement in activities 
related to cultivation and production of",,,"Delegated Regulation (EU) 
2020/1818, Article 12(1) Delegated",,"E.ON has no involvement in activities 
related to the cultivation and"
tobacco paragraph 40 (d) iv,,,"Regulation (EU) 2020/1816, Annex II",,"production of tobacco Paragraph 40 
Letter d (iv)."
"ESRS E1-1 Transition plan to reach 
climate neutrality by 2050",,,,"Regulation (EU) 2021/1119,  
Article 2(1)","→ Climate Protection: Organization and 
Responsibilities, Specific Actions"
paragraph 14,,,,,
"ESRS E1-1 Undertakings excluded from 
Paris-aligned Benchmarks",,"Article 449a 
Regulation (EU) No 575/2013;","Delegated Regulation (EU) 
2020/1818, Article12.1 (d) to (g), and",,→ Climate Protection: E.ON’s Approach
paragraph 16 (g),,"Commission Implementing Regulation 
(EU) 2022/2453 Template 1: Banking",Article 12.2,,
